entry,count,pref_label,uri
Amber,163,yellow (color),http://vocab.getty.edu/page/aat/300127794
Beige,50,beige (color),http://vocab.getty.edu/page/aat/300266234
Black,406,black (color),http://vocab.getty.edu/page/aat/300130920
Blue,854,blue (color),http://vocab.getty.edu/page/aat/300129361
Brown,757,brown (color),http://vocab.getty.edu/page/aat/300127490
Brownish-yellow,8,yellow (color),http://vocab.getty.edu/page/aat/300127794
Clear,3,colorless,http://vocab.getty.edu/page/aat/300265729
Colorless,141,colorless,http://vocab.getty.edu/page/aat/300265729
Copper,1,copper (color),http://vocab.getty.edu/page/aat/300311190
Dark Amber,9,yellow (color),http://vocab.getty.edu/page/aat/300127794
Dark Brown,12,brown (color),http://vocab.getty.edu/page/aat/300127490
Dark Grey,1,gray (color),http://vocab.getty.edu/page/aat/300130811
Dark Red,1,red (color),http://vocab.getty.edu/page/aat/300126225
Dark Yellow,11,yellow (color),http://vocab.getty.edu/page/aat/300127794
Gold,1,gold (color),http://vocab.getty.edu/page/aat/300311191
Gray,106,gray (color),http://vocab.getty.edu/page/aat/300130811
Green,665,green (color),http://vocab.getty.edu/page/aat/300128438
Grey,8,gray (color),http://vocab.getty.edu/page/aat/300130811
Light / Dark Amber,1,yellow (color),http://vocab.getty.edu/page/aat/300127794
Light Amber,179,yellow (color),http://vocab.getty.edu/page/aat/300127794
Light Beige,24,beige (color),http://vocab.getty.edu/page/aat/300266234
Light Brown,10,brown (color),http://vocab.getty.edu/page/aat/300127490
Light Green,1,green (color),http://vocab.getty.edu/page/aat/300128438
Light Grey,2,gray (color),http://vocab.getty.edu/page/aat/300130811
Light Orange,6,orange (color),http://vocab.getty.edu/page/aat/300126734
Light Tan,6,brown (color),http://vocab.getty.edu/page/aat/300127490
Light Yellow,131,yellow (color),http://vocab.getty.edu/page/aat/300127794
Matte Yellow,1,yellow (color),http://vocab.getty.edu/page/aat/300127794
Multi-colored,2248,multicolored,http://vocab.getty.edu/page/aat/300252256
Orange,280,orange (color),http://vocab.getty.edu/page/aat/300126734
Peach,1,orange (color),http://vocab.getty.edu/page/aat/300126734
Pink,62,pink (color),http://vocab.getty.edu/page/aat/300124707
Red,1227,red (color),http://vocab.getty.edu/page/aat/300126225
Reddish-brown,1,brown (color),http://vocab.getty.edu/page/aat/300127490
Reddish-orange,1,orange (color),http://vocab.getty.edu/page/aat/300126734
Reddish-yellow,4,yellow (color),http://vocab.getty.edu/page/aat/300127794
Tan,13,brown (color),http://vocab.getty.edu/page/aat/300127490
Various,4,multicolored,http://vocab.getty.edu/page/aat/300252256
Very Light Beige,3,beige (color),http://vocab.getty.edu/page/aat/300266234
Very Light Yellow,8,yellow (color),http://vocab.getty.edu/page/aat/300127794
Violet,290,purple (color),http://vocab.getty.edu/page/aat/300130257
Violet / Purple,1,purple (color),http://vocab.getty.edu/page/aat/300130257
White,769,white (color),http://vocab.getty.edu/page/aat/300129784
Yellow,1461,yellow (color),http://vocab.getty.edu/page/aat/300127794
Yellow-brown,1,brown (color),http://vocab.getty.edu/page/aat/300127490
Yellow-orange,1,orange (color),http://vocab.getty.edu/page/aat/300126734
Yellowish-black,1,black (color),http://vocab.getty.edu/page/aat/300130920
Yellowish-green,1,green (color),http://vocab.getty.edu/page/aat/300128438
Yellowish-white,3,white (color),http://vocab.getty.edu/page/aat/300129784
