resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,dig_res_type_tileid,dig_res_type_type,dig_res_type_transactionid,dig_res_create_tileid,dig_res_create_digital_resource_creation_type,dig_res_create_transactionid
12e2fd03-b7b5-4096-9df9-99a369a5f946,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,f3efd2f2-2f6f-494a-95ec-a8aefaf9c3c4,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,f80f6186-7974-412c-af93-6687a92889c2,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
199e8923-c314-46ab-8e89-c0d07a08bf81,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,f7ee8a83-5971-4e96-b9cd-8628d234bc0b,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,4a48ca33-f6b7-4fd6-8e8b-8172f553a80e,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,995c184a-9fb2-44c8-9ab5-fd0472417207,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,677086db-8bf7-4e9a-9c0e-5cb8864cf254,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
225ce57b-6c0b-4eb4-8894-51debad23c15,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,2dc38377-40ce-4b83-b977-fa774857e57a,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,65bf1db6-5b60-49cb-910e-a18c6729c848,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
4ec84f54-c27f-4880-8339-146eb381363b,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,09625799-d9b9-4475-8b9b-7457040ca410,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,71c9c225-a910-4fd6-bf6b-dad3152e9a3c,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,0910dfba-f471-40ba-a5a9-a3d5d44267f3,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,5487f293-a7ed-4c24-a995-6c8c3d6e3956,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
566f96fe-87ef-4711-9ad8-3693d48277ea,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,ff9d1bed-dfef-4c84-a7d7-2448583d38aa,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,409e0e33-6e62-490a-96d0-c4a46e1f8d51,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
5746c92f-b8ce-4a90-bf26-e8ca2429ad59,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,9616525d-c175-4cfb-8f62-3b7f07f0da67,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,6696d4e4-81a0-4709-983f-018393868283,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
5effbdb1-63af-4d23-97fe-3711972d34b4,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,6a7d0f40-55de-497e-9af5-a406a95e26fa,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,77589bec-f3d2-49d8-882c-e197a3a31504,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
60604127-7380-4286-8723-ef32476bc9f1,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,e93a9c27-e731-46a8-bb0a-0ea43ee80e02,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,474a0ae5-8219-4b53-80e2-e8a73b37ae12,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
