resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,dig_ref_tileid,dig_ref_digital_reference_type,dig_ref_transactionid,dig_ref_related_objs
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,63c748d9-d9bf-4354-b496-3ec57cc40299,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""f4a246b7-51ec-4afc-9358-bd9f727806a8"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""b5ad499b-9f8a-4513-9fc0-5c7939f04417"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,ad5e6827-5dae-4294-b50f-a0b197bfcb19,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""f04a3ee9-855c-4f09-8814-00dab1925a1b"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""80c6484a-011e-4f07-8ab6-6f93bf3b609a"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,a12f402d-dd52-4184-b728-98c4e57220e8,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""f58f23da-3d10-488d-867e-e844aecec68b"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""c7a594e7-59db-435f-a815-400411ab0200"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,ce34520c-cb9a-4131-90d1-f006eb7df828,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""f43fd007-ca58-4c5d-9981-2a7f7f9a8a12"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""669809a3-18f4-433d-9cbe-c5d61a0b9716"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,63c31dd5-0a52-414f-a967-631e495ec92f,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""83a6ebf8-4e43-4233-aa2c-8c33731de73d"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""18bbfda3-ea4a-4146-9f3c-7b97f375a091"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,45481d24-07dc-4cbd-afd3-3cb5b7cc953e,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""db7a234e-14a9-4c9a-928e-9ef3be493ab4"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""37fbb9ca-4fae-435a-903b-730831f5fd6b"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,348adee6-4df7-444d-a5af-3b0eac2c032a,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""cd01f397-1a5e-4a26-bec1-66d66fc482d6"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""a5c7a2ad-baf7-4602-a660-71eaa5a92ba6"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,dc245d41-541b-4ed3-a49e-d876a6a3b330,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""86cdd5f1-0359-4fee-9b44-48e144998ea4"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""78d734b6-152a-47b8-af6b-14a82c1c1886"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,ee78a757-9ebf-4593-95b0-c0f04c511710,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""7ccefd30-b863-48af-b58d-33a75e7cec1b"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""755e9539-ccf6-47aa-b0c9-86584aaa8426"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,3c5bd4a3-640e-41ca-aa73-f6756ac3d70e,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""ff925ecd-df91-4696-bda5-c9fd5c568a34"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""a2caad11-a057-4d39-83e0-e8e20c574198"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""933cf221-2d71-478f-998a-a5e088457971""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,"[{""resourceId"": ""a61d9e9a-1fbc-4abe-97b5-6566b7475e14"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""0542fc4a-3c4e-4146-9a75-1dc5c7955476"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]"
