resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,tileid,facet_type,facet_type_metatype,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,7163d5b6-72d7-45a3-ab2d-1badf772eaa0,"{""en"": {""value"": ""Pine, Shortleaf"", ""direction"": ""ltr""}}",[],[],8d35cc9e-87a3-400a-a09f-aa8021dd684f,"{""en"": {""value"": ""10001"", ""direction"": ""ltr""}}",[],262da445-58f0-45eb-8931-d73295ce11fc,[],[],,,,
c652dc8a-35d0-4004-85c6-d5a0491f46fc,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3f0e00db-71a8-4884-a587-0bedfda6ac94,"{""en"": {""value"": ""Pine, Slash"", ""direction"": ""ltr""}}",[],[],78d873f0-cca5-4bdb-9834-0da5f2af74c9,"{""en"": {""value"": ""10002"", ""direction"": ""ltr""}}",[],d286381e-0beb-43a0-a6a8-04597ce5b22d,[],[],,,,
6b999fe8-f429-4f08-83dc-1c22ec7da40f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a1509d1c-4d2d-4353-bbd3-f2b3270bb332,"{""en"": {""value"": ""Pine, Longleaf"", ""direction"": ""ltr""}}",[],[],910e8632-fa79-4ecd-94ce-2a7ccdd2e7c1,"{""en"": {""value"": ""10003"", ""direction"": ""ltr""}}",[],d1d1995d-0031-4d2f-b7e3-0c7c890e0cee,[],[],,,,
7c509df8-3a2c-4f19-ab07-5934252f1b19,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,687ee61d-742f-4172-a7dc-6997163431af,"{""en"": {""value"": ""Bald Cypress"", ""direction"": ""ltr""}}",[],[],62db1ded-eed0-4f4e-b9e7-8d3b58c615d7,"{""en"": {""value"": ""10004"", ""direction"": ""ltr""}}",[],34dd0327-c8e4-4391-b478-c6b4cb1e1ddc,[],[],,,,
f5530d89-9bcc-421f-a905-340af3e4d4d9,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,98e451c4-1ef5-4ad3-83fd-9e33d8f87a44,"{""en"": {""value"": ""Cottonwood, Eastern"", ""direction"": ""ltr""}}",[],[],2b50db6b-28c9-4b5b-9791-0ca00b702404,"{""en"": {""value"": ""10005"", ""direction"": ""ltr""}}",[],b68eb492-3fc0-4ac9-9633-39ebcf6bca90,[],[],,,,
fdf868bf-33cb-4866-b49a-0f1e6dd41153,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9470109d-0190-4ded-801c-ab301533dbac,"{""en"": {""value"": ""Cottonwood"", ""direction"": ""ltr""}}",[],[],390edec1-bae3-4f85-9d7c-45e2c8947440,"{""en"": {""value"": ""10006"", ""direction"": ""ltr""}}",[],00123b77-4da7-4d84-989e-759bdafdb327,[],[],,,,
624aea12-09c0-48a7-a04b-7222e38cb393,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,ce070d0f-a3bc-4352-a293-7cbbcb54daec,"{""en"": {""value"": ""Willow, Black"", ""direction"": ""ltr""}}",[],[],6f551941-d256-486d-af24-87637c8e59e5,"{""en"": {""value"": ""10007"", ""direction"": ""ltr""}}",[],3ee2d1a0-8c5d-46b2-b670-98d282a1bf4a,[],[],,,,
b7818cbb-6006-4ccc-a799-ee8e5612369b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0d1e6dc1-b333-47bf-b088-0ca05bd6c9a7,"{""en"": {""value"": ""Beech, California"", ""direction"": ""ltr""}}",[],[],a638a788-03df-4330-8140-0d2eda40911e,"{""en"": {""value"": ""10008"", ""direction"": ""ltr""}}",[],183f769d-2cfe-46a7-b3ef-7262e8f47c78,[],[],,,,
b8759279-f6a2-4969-9d62-47628a505f7b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,33e660cb-6fe4-4587-b0a6-69e21da80607,"{""en"": {""value"": ""Pecan"", ""direction"": ""ltr""}}",[],[],b1f497cd-80b9-4fdf-8c9c-965fbec14bf1,"{""en"": {""value"": ""10009"", ""direction"": ""ltr""}}",[],11ccd1c0-0ad1-4760-8d92-1f1305fa48ea,[],[],,,,
60ee2f5a-003b-4968-948a-886312787148,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,721ba4d0-8f80-456a-a5be-76f42e4bd179,"{""en"": {""value"": ""Oak, White"", ""direction"": ""ltr""}}",[],[],029b1cc6-bb2b-4567-8b79-f411da046736,"{""en"": {""value"": ""10010"", ""direction"": ""ltr""}}",[],f61e7852-7346-4f63-92fb-fba50871d220,[],[],,,,
