resourceinstanceid,graphid,graphpublicationid,principaluser_id,comp1_statement_tileid,comp1_statement_part_statement_content,comp1_statement_part_statement_type,comp1_statement_part_statement_language,comp2_statement_tileid,comp2_statement_part_statement_content,comp2_statement_part_statement_type,comp2_statement_part_statement_language,comp1_tileid,comp1_part_name_content,comp1_part_name_type,comp1_part_name_language,comp1_part_type,comp1_n_tileid,comp1_n_part_dimension_value_,comp1_n_part_dimension_type_,comp1_n_part_dimension_unit,comp2_tileid,comp2_part_name_content,comp2_part_name_type,comp2_part_name_language,comp2_part_type,comp2_n_tileid,comp2_n_part_dimension_value_,comp2_n_part_dimension_type_,comp2_n_part_dimension_unit,comp3_tileid,comp3_part_type,comp3_statement_tileid,comp3_statement_part_statement_content,comp3_statement_part_statement_type,comp3_statement_part_statement_language
3b0442e9-661d-493e-bf1d-be06e8d07d42,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,ead55834-a33b-44b7-9339-4a1ca1dff9f7,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}",[],[],36398399-85c3-478f-a7df-97e8794be285,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}",[],[],,,,,,,,,,,,,,,,,,,,,,,,
b0917f1a-36ec-44ea-afad-dbbf7d5447a5,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,52cc6cab-eb6c-4f25-a59c-23b7091dc693,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}",[],[],318bc6cf-6e73-49b8-84f0-400bb527e5ea,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}",[],[],,,,,,,,,,,,,,,,,,,,,,,,
d61e2d21-b830-4e49-b0b8-6a9b4638d2c7,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,91595119-faa5-41bb-9be8-aee8a36d524b,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}",[],[],974f5a2e-c04f-47c9-be49-72893d9c522d,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}",[],[],,,,,,,,,,,,,,,,,,,,,,,,
b03bd02d-841e-4d02-96ed-0bece3d04a4f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c8019bab-39e0-437c-aab2-ec5c6d7aa5fd,"{""en"": {""value"": ""Gum arabic"", ""direction"": ""ltr""}}",[],[],df872fac-1ec1-470f-a575-a442410dfbc0,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}",[],[],,,,,,,,,,,,,,,,,,,,,,,,
56d6046a-2466-47f6-8332-0c919a6b686c,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,1ba23c45-a6c2-4186-9ed5-40854155b1e6,"{""en"": {""value"": ""Gum arabic"", ""direction"": ""ltr""}}",[],[],c1cc8df2-0fbe-47ac-8fc4-79d0fdbe2081,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}",[],[],,,,,,,,,,,,,,,,,,,,,,,,
53ff805c-c13f-4f84-9110-708a0a3b429d,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,dc72e0d9-817a-4e60-a8af-5ef98de10a6d,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}",[],[],cf8b9580-b15a-4a4c-b8d6-4d28991af0e2,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}",[],[],8fabfa95-366f-4f36-a61b-3c9a511a86b7,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}",[],[],[],919d4cb1-0c27-437c-9e37-5e4e8b478659,0.04,[],[],76220bad-f5ce-4a61-bb3b-4f5053016f24,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}",[],[],[],81e9b7ad-8b7f-4faa-9186-5e648c6573c3,39.96,[],[],,,,,,
10f25076-5449-4540-b33f-4135228b5566,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,56b35ec2-aac6-4ab1-867f-20b50589375c,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}",[],[],7fc266a7-6c54-466f-a899-6b3ddc12308b,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}",[],[],0f37f69b-16c8-4214-8432-cbeccc49ce24,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}",[],[],[],6cf46f5d-f4da-4032-8e91-2e5cb2de3441,0.04,[],[],8ffddabe-6ac9-448f-b96d-43575afac2d8,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}",[],[],[],0c6535bb-dd51-4916-a57f-02e80daf7734,39.96,[],[],,,,,,
46276f2a-b70b-496c-8577-a01e00b09d7c,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fb8904de-aaf0-446e-be2d-6f64a8a8a811,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}",[],[],db6a6a21-75bf-4c4c-a401-9661106cd5f3,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}",[],[],fd2265f5-3ad0-463b-9b60-8163af8d4b83,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}",[],[],[],0fd2ace6-9d1c-4390-94c7-f2b69b05c3c4,0.04,[],[],8a29f85d-201e-4b41-8bda-c78258d24e58,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}",[],[],[],65a7dd63-8045-4aa2-a87e-49a91e922d05,39.96,[],[],,,,,,
c854d91d-3504-4e48-b61b-bbec668e00a8,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,544325ea-6805-4412-a846-5694c9194c78,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}",[],[],52f34998-bd70-474f-8320-ab851d85a176,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}",[],[],f6a3de66-2795-4705-8319-b86f2fe60609,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}",[],[],[],1a3c0d15-4c61-4a68-9b5c-5e1ae803c9bf,0.04,[],[],28be005e-c0d1-4313-afc2-2f140722051c,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}",[],[],[],351ca8dd-fae0-47cd-9b22-c59ee5a038a1,39.96,[],[],,,,,,
ac1313c0-f721-4a3e-a6ff-b46befca7e06,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6097f9cc-10c9-4715-845e-71df74a70c31,"{""en"": {""value"": ""0.071 g linseed oil"", ""direction"": ""ltr""}}",[],[],371db25a-8198-48de-9f42-fbe78f9f5903,"{""en"": {""value"": ""34.930 g dammar resin"", ""direction"": ""ltr""}}",[],[],7e0f6a00-9976-4b11-bbf8-40d1edd4411c,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}",[],[],[],763ff127-9929-4c15-a6bc-9109ae31daab,0.071,[],[],170a6b73-1efa-4b21-af2d-f0db5e8acc6b,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}",[],[],[],cb2d89aa-6d1e-487a-a601-51690e16ca45,34.93,[],[],,,,,,
