resourceinstanceid,graphid,graphpublicationid,principaluser_id,cur_loc_tileid,cur_loc_current_location,cur_loc_current_location_statement_content,cur_loc_current_location_statement_type,cur_loc_current_location_statement_language
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,036f1a2b-0e46-4de8-a284-740e32800de0,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""3bccc8a3-3d50-41e3-89c3-cbe10292cced"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
c652dc8a-35d0-4004-85c6-d5a0491f46fc,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a4004d18-6263-4e12-91f4-66a11a36ce07,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""6b33fdcb-8862-4787-946d-2cfd5ece1b87"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
6b999fe8-f429-4f08-83dc-1c22ec7da40f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,65e2c579-2db0-4d1e-a179-c53bbb0308ad,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""9c87759e-4077-4cd8-b9b7-7839fb6ba862"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
7c509df8-3a2c-4f19-ab07-5934252f1b19,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8d8c3f39-336b-4270-94ce-4e63653200a4,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e77462a3-2ed4-42ee-9690-4566f7fbee89"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
f5530d89-9bcc-421f-a905-340af3e4d4d9,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f85d8c75-a476-4a11-aaac-15082c39b98f,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""6ca4e4dc-7692-4874-8714-43bc1f22252f"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
fdf868bf-33cb-4866-b49a-0f1e6dd41153,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,cdb20303-d127-42a9-a980-300912e4d293,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""817e9cf8-8e9f-421f-841c-50dbc6991592"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
624aea12-09c0-48a7-a04b-7222e38cb393,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,07fd658e-ee05-45c9-b170-4e8aa5362f2a,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""45a89aba-4387-4c0c-bffa-01f434c46d55"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
b7818cbb-6006-4ccc-a799-ee8e5612369b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2f1d5879-9c66-4d82-adde-d48577ba1af4,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""073d0feb-a4b0-40ea-b3ad-e99378601374"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
b8759279-f6a2-4969-9d62-47628a505f7b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9908f06f-3bcf-4785-a052-06e078bb7bf3,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""9200bcc5-a183-486e-b895-8b661a7e7f81"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
60ee2f5a-003b-4968-948a-886312787148,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e44ea283-7c58-41c2-953c-85f4bd36bb31,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""f016a56d-e1b6-49fb-99bc-538021426ef5"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""64bdfe05-1d21-4cbc-9505-9a2383fdc0fa"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""f1aa1111-61c5-43f4-86f9-75d8f945f255"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""39e49408-de39-44db-a191-fe36a5f04cfc"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
