resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,object_type_tileid,object_type_object_type,object_type_transactionid,mat_tileid,mat_material,mat_transactionid,mix_tileid,mix_mixture_type,mix_mixture_type_metatype,mix_transactionid,part_base_tileid,part_base_part_name_content,part_base_part_type,part_base_part_name_type,part_base_part_name_language,part_base_transactionid,part_base_part_removed_from_related_objs,part_base_dim_tileid,part_base_dim_part_dimension_statement_content,part_base_dim_part_dimension_statement_type,part_base_dim_part_dimension_statement_language_,part_base_dim_transactionid,gbif_name_tileid,gbif_name_name_content,gbif_name_name_type_,gbif_name_name_language_,gbif_name_transactionid,gbif_tileid,gbif_statement_content,gbif_statement_type,gbif_statement_language_,gbif_transactionid,mix_state_tech_tileid,mix_state_tech_mixture_statement_content,mix_state_tech_mixture_statement_type,mix_state_tech_mixture_statement_language,mix_state_tech_transactionid,part_comp1_tileid,part_comp1_part_name_content,part_comp1_part_name_type,part_comp1_part_name_language,part_comp1_transactionid,part_comp1_dim_tileid,part_comp1_dim_part_dimension_statement_content,part_comp1_dim_part_dimension_value_,part_comp1_dim_part_dimension_unit,part_comp1_dim_part_dimension_type_,part_comp1_dim_part_dimension_statement_type,part_comp1_dim_part_dimension_statement_language_,part_comp1_dim_transactionid,part_comp2_tileid,part_comp2_part_name_content,part_comp2_part_name_type,part_comp2_part_name_language,part_comp2_transactionid,part_comp2_dim_tileid,part_comp2_dim_part_dimension_statement_content,part_comp2_dim_part_dimension_value_,part_comp2_dim_part_dimension_unit,part_comp2_dim_part_dimension_type_,part_comp2_dim_part_dimension_statement_type,part_comp2_dim_part_dimension_statement_language_,part_comp2_dim_transactionid,part_pig_tileid,part_pig_part_name_content,part_pig_part_type,part_pig_part_name_type,part_pig_part_name_language,part_pig_transactionid,part_pig_dim_tileid,part_pig_dim_part_dimension_statement_content,part_pig_dim_part_dimension_value_,part_pig_dim_part_dimension_unit,part_pig_dim_part_dimension_type_,part_pig_dim_part_dimension_statement_type,part_pig_dim_part_dimension_statement_language_,part_pig_dim_transactionid,part_base_dim_part_dimension_value_,part_base_dim_part_dimension_unit,part_base_dim_part_dimension_type_,part_comp1_part_type,part_comp1_part_removed_from_related_objs,part_comp2_part_removed_from_related_objs,mix_state_ratio_tileid,mix_state_ratio_mixture_statement_content,mix_state_ratio_mixture_statement_type,mix_state_ratio_mixture_statement_language,mix_state_ratio_transactionid,part_pig_part_removed_from_related_objs,part_comp3_tileid,part_comp3_part_name_content,part_comp3_part_name_type,part_comp3_part_name_language,part_comp3_transactionid,part_comp3_dim_tileid,part_comp3_dim_part_dimension_statement_content,part_comp3_dim_part_dimension_statement_type,part_comp3_dim_part_dimension_statement_language_,part_comp3_dim_transactionid,part_comp3_part_removed_from_related_objs,part_comp3_dim_part_dimension_value_,part_comp3_dim_part_dimension_unit,part_comp3_dim_part_dimension_type_
00068a07-2de1-4494-b82a-be757e5272dc,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,a8d3ff51-f022-4a62-847e-7b195f9d05cd,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,6095fc4d-cdf6-4718-8d74-83b29e293fce,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00077780-1e3e-4146-b26c-c4fb71b104f9,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,77289631-b1de-4619-96bd-8e279c4ce04d,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,1e5591af-ad1d-4fb0-86f5-9a91e7742b9e,[],42feb182-0a6e-445e-85c5-8f5839fd687f,a9737d83-f785-4c4d-9824-d62f7f5d0844,"[{""uri"": ""https://afs.dev.fargeo.com/8f091572-18d8-49b1-9ebc-a229873b875e"", ""labels"": [{""id"": ""cead06db-0b87-4c94-9d69-34de73f31534"", ""value"": ""inorganic - inorganic mixture"", ""language_id"": ""en"", ""list_item_id"": ""8f091572-18d8-49b1-9ebc-a229873b875e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""ce9c94e3-bb70-4e87-9fef-eb0c8a6ac1ac""}]","[{""uri"": ""http://vocab.getty.edu/aat/300264237"", ""labels"": [{""id"": ""01a44bd6-e86e-413e-b85d-10a9ad494bc1"", ""value"": ""material components"", ""language_id"": ""en"", ""list_item_id"": ""501d7f8e-550c-44cb-a077-1c56cea92e9c"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""c82d6f85-ae67-4c28-b07a-c114f6d6ba50""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00082c13-ef23-46f2-944b-c237784204d6,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,0450f4dc-3a5f-40fc-86e4-3dde5eb3e2e7,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,6c6433cb-c886-4daa-a637-9f1e6432981d,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000ff811-8e63-4226-ac6a-250fa796a206,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,da262d5b-86cd-4512-8cb7-401fb350cde2,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,21aba442-b07d-4b89-ba88-773fecca7bae,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,9ba4b371-ae3c-4a48-bdbd-f57ec4d8b2a9,"{""en"": {""value"": ""(From reference sample: Wax + Lead White)"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1960f1f4-e540-4626-8329-f152c6416818"", ""labels"": [{""id"": ""e087a547-4e6f-4ee1-a65f-19930f1641dc"", ""value"": ""base mixture with colorant"", ""language_id"": ""en"", ""list_item_id"": ""1960f1f4-e540-4626-8329-f152c6416818"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""73a6d800-669d-48b7-a1fb-2ecdaa0a4827""}]","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/df2d67d8-b7cb-487d-b4c0-f04bd526e7be"", ""labels"": [{""id"": ""70f219b3-5394-4825-a794-636f52a64ef0"", ""value"": ""component name"", ""language_id"": ""en"", ""list_item_id"": ""df2d67d8-b7cb-487d-b4c0-f04bd526e7be"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,"[{""resourceId"": ""9afb2d50-f493-4b28-81de-7f282bb8ec60"", ""ontologyProperty"": null, ""resourceXresourceId"": ""a48e8d14-9d7e-4a70-9e4d-39c4b889c3dc"", ""inverseOntologyProperty"": null}]",582e1d54-1eb8-4445-a098-fb8c8a96bcdf,"{""en"": {""value"": ""Measurement not listed in FileMaker Pro database"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300435430"", ""labels"": [{""id"": ""07267fb1-33ea-457f-9cff-fe337d6f00cd"", ""value"": ""measurement description"", ""language_id"": ""en"", ""list_item_id"": ""5bd94b1d-b8b0-44fb-8e1a-fab715b2e8d0"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""a16a4edc-c916-4293-af98-44d76ce6cba7""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0010ff52-4ca5-45e1-b144-815fa8054bcd,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,1bc76c31-d570-4868-bbd5-8b36dd33bf60,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,5fd679ca-65d3-45a5-8cae-d87d55db6bd6,[],42feb182-0a6e-445e-85c5-8f5839fd687f,9b2258e1-ea32-4f70-a9f1-b3f508ec1803,"[{""uri"": ""https://afs.dev.fargeo.com/6908f5b9-2d55-4758-a106-9a1763adbc33"", ""labels"": [{""id"": ""4fe20c70-fc45-4937-a033-d87b6c87e532"", ""value"": ""organic - inorganic mixture"", ""language_id"": ""en"", ""list_item_id"": ""6908f5b9-2d55-4758-a106-9a1763adbc33"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""ce9c94e3-bb70-4e87-9fef-eb0c8a6ac1ac""}]","[{""uri"": ""http://vocab.getty.edu/aat/300264237"", ""labels"": [{""id"": ""01a44bd6-e86e-413e-b85d-10a9ad494bc1"", ""value"": ""material components"", ""language_id"": ""en"", ""list_item_id"": ""501d7f8e-550c-44cb-a077-1c56cea92e9c"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""c82d6f85-ae67-4c28-b07a-c114f6d6ba50""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023af95-edcd-4481-a404-14f4ec704a7b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,8d617b2a-1374-4af4-9aa0-5276ef482491,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,05b51b84-21d6-4987-be9c-908fb13bfeaa,[],42feb182-0a6e-445e-85c5-8f5839fd687f,7831196a-0773-47bd-9e03-e7cea8a57fcb,"[{""uri"": ""https://afs.dev.fargeo.com/6908f5b9-2d55-4758-a106-9a1763adbc33"", ""labels"": [{""id"": ""4fe20c70-fc45-4937-a033-d87b6c87e532"", ""value"": ""organic - inorganic mixture"", ""language_id"": ""en"", ""list_item_id"": ""6908f5b9-2d55-4758-a106-9a1763adbc33"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""ce9c94e3-bb70-4e87-9fef-eb0c8a6ac1ac""}]","[{""uri"": ""http://vocab.getty.edu/aat/300264237"", ""labels"": [{""id"": ""01a44bd6-e86e-413e-b85d-10a9ad494bc1"", ""value"": ""material components"", ""language_id"": ""en"", ""list_item_id"": ""501d7f8e-550c-44cb-a077-1c56cea92e9c"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""c82d6f85-ae67-4c28-b07a-c114f6d6ba50""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,ba054ee9-5701-4634-ae86-f24b3e68e3a8,"{""en"": {""value"": ""(From reference sample: Mastic + Yellow Ochre)"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1960f1f4-e540-4626-8329-f152c6416818"", ""labels"": [{""id"": ""e087a547-4e6f-4ee1-a65f-19930f1641dc"", ""value"": ""base mixture with colorant"", ""language_id"": ""en"", ""list_item_id"": ""1960f1f4-e540-4626-8329-f152c6416818"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""73a6d800-669d-48b7-a1fb-2ecdaa0a4827""}]","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/df2d67d8-b7cb-487d-b4c0-f04bd526e7be"", ""labels"": [{""id"": ""70f219b3-5394-4825-a794-636f52a64ef0"", ""value"": ""component name"", ""language_id"": ""en"", ""list_item_id"": ""df2d67d8-b7cb-487d-b4c0-f04bd526e7be"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,"[{""resourceId"": ""74523a67-f70e-4e3d-b35f-8fa5b28051d5"", ""ontologyProperty"": null, ""resourceXresourceId"": ""554b59ac-e03b-4332-8637-21ea297913fa"", ""inverseOntologyProperty"": null}]",f0dff1fa-2e3b-4ce7-b185-246da2c799bb,"{""en"": {""value"": ""Measurement not listed in FileMaker Pro database"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300435430"", ""labels"": [{""id"": ""07267fb1-33ea-457f-9cff-fe337d6f00cd"", ""value"": ""measurement description"", ""language_id"": ""en"", ""list_item_id"": ""5bd94b1d-b8b0-44fb-8e1a-fab715b2e8d0"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""a16a4edc-c916-4293-af98-44d76ce6cba7""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0024880b-dd10-4d64-806c-b89a07c43a93,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,c9292730-b15d-4a31-a3b2-0edd38e00923,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,900fbe86-70bd-4b82-92da-8314fc5dde74,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037571d-028b-4fce-9d5c-dcd345aef5ac,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,a5c6ade1-d3c5-48da-9ca1-ec03e6a6fac3,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,4710dff0-437f-4162-ab52-ac56fa70fe9e,"[{""uri"": ""http://vocab.getty.edu/aat/300013029"", ""labels"": [{""id"": ""626b2732-7bb2-4dda-aa5b-83f49887f38d"", ""value"": ""dye"", ""language_id"": ""en"", ""list_item_id"": ""b3cb5902-3675-3af6-ae1c-4ef07e1e54f4"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9a2ee63b-d696-4686-979b-994597790289""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003d14d2-2276-4997-936e-f8cf863ff75b,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,f2354c4a-b907-4a62-9eff-15ef91a0965a,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,6c9037f8-81aa-42c6-87fb-4fad20138182,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003fd275-b4f8-4e2a-a848-6d28d09f76d8,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,42feb182-0a6e-445e-85c5-8f5839fd687f,f28f9581-a417-4eee-b60f-811f0c06a573,"[{""uri"": ""http://vocab.getty.edu/aat/300028875"", ""labels"": [{""id"": ""b86fae98-e9a5-4527-a8d2-b1e920772c3a"", ""value"": ""samples"", ""language_id"": ""en"", ""list_item_id"": ""9db724b9-b3c7-4761-9a50-673d64a15bd8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""56991802-f539-4b22-b5a9-b1945fceb52b""}]",42feb182-0a6e-445e-85c5-8f5839fd687f,e39af46d-ba3f-4f0d-8fce-4d0713925174,[],42feb182-0a6e-445e-85c5-8f5839fd687f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
