resourceinstance_id,type_n2__type,resourceinstance_id,digital_resource_creation__digital_resource_creation_technique,row_num
f04a3ee9-855c-4f09-8814-00dab1925a1b,Dataset,f04a3ee9-855c-4f09-8814-00dab1925a1b,Point XRF Measurement,1
f58f23da-3d10-488d-867e-e844aecec68b,Dataset,f58f23da-3d10-488d-867e-e844aecec68b,Point XRF Measurement,2
f43fd007-ca58-4c5d-9981-2a7f7f9a8a12,Dataset,f43fd007-ca58-4c5d-9981-2a7f7f9a8a12,Point XRF Measurement,3
83a6ebf8-4e43-4233-aa2c-8c33731de73d,Dataset,83a6ebf8-4e43-4233-aa2c-8c33731de73d,Point XRF Measurement,4
db7a234e-14a9-4c9a-928e-9ef3be493ab4,Dataset,db7a234e-14a9-4c9a-928e-9ef3be493ab4,Point XRF Measurement,5
cd01f397-1a5e-4a26-bec1-66d66fc482d6,Dataset,cd01f397-1a5e-4a26-bec1-66d66fc482d6,Point XRF Measurement,6
86cdd5f1-0359-4fee-9b44-48e144998ea4,Dataset,86cdd5f1-0359-4fee-9b44-48e144998ea4,Point XRF Measurement,7
7ccefd30-b863-48af-b58d-33a75e7cec1b,Dataset,7ccefd30-b863-48af-b58d-33a75e7cec1b,Point XRF Measurement,8
5746c92f-b8ce-4a90-bf26-e8ca2429ad59,Dataset,a61d9e9a-1fbc-4abe-97b5-6566b7475e14,FORS Measurement,9
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,Dataset,60604127-7380-4286-8723-ef32476bc9f1,FORS Measurement,10
566f96fe-87ef-4711-9ad8-3693d48277ea,Dataset,12e2fd03-b7b5-4096-9df9-99a369a5f946,FORS Measurement,11
c4677cb7-f7a8-4186-bf30-aad543b9d316,Dataset,225ce57b-6c0b-4eb4-8894-51debad23c15,FORS Measurement,12
5effbdb1-63af-4d23-97fe-3711972d34b4,Dataset,65c6de5a-7ea4-46e0-bcfd-5e1c479bac1f,FORS Measurement,13
4ec84f54-c27f-4880-8339-146eb381363b,Dataset,5746c92f-b8ce-4a90-bf26-e8ca2429ad59,Point Raman Measurement,14
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,Dataset,55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,Point Raman Measurement,15
199e8923-c314-46ab-8e89-c0d07a08bf81,Dataset,566f96fe-87ef-4711-9ad8-3693d48277ea,Point Raman Measurement,16
d9c0434a-e70f-4760-ad26-b5137f1b3576,Dataset,c4677cb7-f7a8-4186-bf30-aad543b9d316,Point Raman Measurement,17
a61d9e9a-1fbc-4abe-97b5-6566b7475e14,Dataset,5effbdb1-63af-4d23-97fe-3711972d34b4,Point Raman Measurement,18
60604127-7380-4286-8723-ef32476bc9f1,Dataset,4ec84f54-c27f-4880-8339-146eb381363b,Point Raman Measurement,19
12e2fd03-b7b5-4096-9df9-99a369a5f946,Dataset,1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,Point Raman Measurement,20
225ce57b-6c0b-4eb4-8894-51debad23c15,Dataset,199e8923-c314-46ab-8e89-c0d07a08bf81,Point Raman Measurement,21
65c6de5a-7ea4-46e0-bcfd-5e1c479bac1f,Dataset,d9c0434a-e70f-4760-ad26-b5137f1b3576,Point Raman Measurement,22
