resourceinstance_id,name__name_content,type_n2__type,digital_resource_creation__digital_resource_creation_technique,file__format_of_file,file__file,file_statement__file,file_statement__file_statement_type,file_statement__file_statement_language,file_statement__file_statement_content
12e2fd03-b7b5-4096-9df9-99a369a5f946,Spot 11 FORS (Spot 11 [Analysis Area of 19th-century pigment mockup]),Dataset,FORS Measurement,,TSR_FORS_biolk_00003.asd.sco.abs.dx,,,,
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.txt,biolk_sC_100x_spot3.txt,interpretation,English (language),Fluorescence only
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.txt,biolk_sC_100x_spot3.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.wxd,biolk_sC_100x_spot3.txt,interpretation,English (language),Fluorescence only
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.wxd,biolk_sC_100x_spot3.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.dx,biolk_sC_100x_spot3.txt,interpretation,English (language),Fluorescence only
199e8923-c314-46ab-8e89-c0d07a08bf81,sC_spot 3 Raman (C Spot 3 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot3.dx,biolk_sC_100x_spot3.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.dx,biolk_sC_100x_spot1.txt,interpretation,English (language),Fluorescence only
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.dx,biolk_sC_100x_spot1.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.txt,biolk_sC_100x_spot1.txt,interpretation,English (language),Fluorescence only
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.txt,biolk_sC_100x_spot1.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.wxd,biolk_sC_100x_spot1.txt,interpretation,English (language),Fluorescence only
1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,sC_spot 1 Raman (C Spot 1 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot1.wxd,biolk_sC_100x_spot1.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
225ce57b-6c0b-4eb4-8894-51debad23c15,Spot 12 FORS (Spot 12 [Analysis Area of 19th-century pigment mockup]),Dataset,FORS Measurement,,TSR_FORS_biolk_00007.asd.sco.abs.dx,,,,
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.dx,biolk_sC_100x_spot4.txt,interpretation,English (language),Fluorescence only
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.dx,biolk_sC_100x_spot4.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.wxd,biolk_sC_100x_spot4.txt,interpretation,English (language),Fluorescence only
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.wxd,biolk_sC_100x_spot4.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.txt,biolk_sC_100x_spot4.txt,interpretation,English (language),Fluorescence only
4ec84f54-c27f-4880-8339-146eb381363b,sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sC_100x_spot4.txt,biolk_sC_100x_spot4.txt,brief text,English (language),"100xL, low gain, orange area, very high fluorescence"
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_20x_spot1.dx,biolk_sA2_20x_spot1.txt,brief text,English (language),"20x, low gain, dark area, high fluorescence"
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_20x_spot1.dx,biolk_sA2_20x_spot1.txt,interpretation,English (language),indigo
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_20x_spot1.dx,biolk_sA2_50x_spot1.txt,interpretation,English (language),indigo
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_20x_spot1.dx,biolk_sA2_50x_spot1.txt,brief text,English (language),"50xL, low gain, dark area, high fluorescence"
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_50x_spot1.dx,biolk_sA2_20x_spot1.txt,brief text,English (language),"20x, low gain, dark area, high fluorescence"
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]]),Dataset,Point Raman Measurement,,biolk_sA2_50x_spot1.dx,biolk_sA2_20x_spot1.txt,interpretation,English (language),indigo
