resourceinstance_id,digital_reference__digital_reference_type,digital_reference__digital_source
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,f4a246b7-51ec-4afc-9358-bd9f727806a8
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,f04a3ee9-855c-4f09-8814-00dab1925a1b
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,f58f23da-3d10-488d-867e-e844aecec68b
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,f43fd007-ca58-4c5d-9981-2a7f7f9a8a12
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,83a6ebf8-4e43-4233-aa2c-8c33731de73d
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,db7a234e-14a9-4c9a-928e-9ef3be493ab4
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,cd01f397-1a5e-4a26-bec1-66d66fc482d6
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,86cdd5f1-0359-4fee-9b44-48e144998ea4
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,7ccefd30-b863-48af-b58d-33a75e7cec1b
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,a61d9e9a-1fbc-4abe-97b5-6566b7475e14
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,60604127-7380-4286-8723-ef32476bc9f1
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,12e2fd03-b7b5-4096-9df9-99a369a5f946
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,225ce57b-6c0b-4eb4-8894-51debad23c15
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,Dataset,65c6de5a-7ea4-46e0-bcfd-5e1c479bac1f
