resourceinstance_id,name__name_language_,name__name_type_,name__name_content,identifier__identifier_type,identifier__identifier_content,object_type__object_type,object_type__Unnamed: 2,statement__statement_language_,statement__statement_type,statement__statement_content,digital_reference__digital_reference_type,digital_reference__digital_source,dimension__dimension_lowest_possible_value,dimension__dimension_type_,dimension__dimension_unit,dimension__dimension_value_,dimension__dimension_highest_possible_value,current_location__current_location,current_owner__current_owner,production___production_location,production___production_type,production___production_technique,production___production_carried_out_by,production___production_location_geo
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f4a246b7-51ec-4afc-9358-bd9f727806a8,40.6,height,centimeters,40.6,40.6,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f4a246b7-51ec-4afc-9358-bd9f727806a8,50.7,width,centimeters,50.7,50.7,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f04a3ee9-855c-4f09-8814-00dab1925a1b,40.6,height,centimeters,40.6,40.6,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f04a3ee9-855c-4f09-8814-00dab1925a1b,50.7,width,centimeters,50.7,50.7,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f58f23da-3d10-488d-867e-e844aecec68b,40.6,height,centimeters,40.6,40.6,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f58f23da-3d10-488d-867e-e844aecec68b,50.7,width,centimeters,50.7,50.7,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f43fd007-ca58-4c5d-9981-2a7f7f9a8a12,40.6,height,centimeters,40.6,40.6,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,f43fd007-ca58-4c5d-9981-2a7f7f9a8a12,50.7,width,centimeters,50.7,50.7,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,83a6ebf8-4e43-4233-aa2c-8c33731de73d,40.6,height,centimeters,40.6,40.6,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,English (language),informal title,19th-century pigment mockup,internal identifier,TSR 2019.01,paintings (visual works),f29c3f29-101a-4e82-95bb-cdd7008e27af,English (language),"brief text,description","a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati",Dataset,83a6ebf8-4e43-4233-aa2c-8c33731de73d,50.7,width,centimeters,50.7,50.7,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,52c75bc1-7797-4ef8-b829-7ce771e4968a,painting (image-making),painting techniques,,GEOMETRYCOLLECTION (POINT (-118.47440884489482 34.07852060917476))
