resourceinstance_id,name__name_language_,name__name_type_,name__name_content,identifier__identifier_type,identifier__identifier_content,object_type__object_type,digital_reference__digital_reference_type,digital_reference__digital_source,dimension__dimension_lowest_possible_value,dimension__dimension_type_,dimension__dimension_unit,dimension__dimension_value_,dimension__dimension_highest_possible_value,statement__statement_language_,statement__statement_type,statement__statement_content,current_location__current_location,current_owner__current_owner,removal_from_object_n1__removal_from_object_carried_out_by,removal_from_object_n1__removal_from_object_removed_from,production___production_influence,production___production_used_object,production___production_location,production___production_type,production___production__label,production___production_source,production___production_technique,production___production_carried_out_by,production___production_caused_by,production___production_during,production___production_location_geo,production___sortorder,production___provisionaledits,production___nodegroup_id,part_of__part_of
466f051a-1529-427d-9be5-d60be9d99073,English (language),preferred terms,Sample A2 [Sample of 19th-century pigment mockup],,,samples,Dataset,55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,,,,,,English (language),sample description,light yellow on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
466f051a-1529-427d-9be5-d60be9d99073,English (language),preferred terms,Sample A2 [Sample of 19th-century pigment mockup],,,samples,Dataset,55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
466f051a-1529-427d-9be5-d60be9d99074,,,,,,,Dataset,c4677cb7-f7a8-4186-bf30-aad543b9d316,,,,,,,,,,,,,,,,,,,,,,,,,,,
466f051a-1529-427d-9be5-d60be9d99075,,,,,,,Dataset,5effbdb1-63af-4d23-97fe-3711972d34b4,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,5746c92f-b8ce-4a90-bf26-e8ca2429ad59,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,5746c92f-b8ce-4a90-bf26-e8ca2429ad59,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,566f96fe-87ef-4711-9ad8-3693d48277ea,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,566f96fe-87ef-4711-9ad8-3693d48277ea,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,4ec84f54-c27f-4880-8339-146eb381363b,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,4ec84f54-c27f-4880-8339-146eb381363b,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,1dec1dcc-f336-4ff3-a82d-9ea5dffc66a9,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,199e8923-c314-46ab-8e89-c0d07a08bf81,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,199e8923-c314-46ab-8e89-c0d07a08bf81,,,,,,English (language),sampling motivation,pigment identification,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],,,samples,Dataset,d9c0434a-e70f-4760-ad26-b5137f1b3576,,,,,,English (language),sample description,orange on dark blue-black,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,,,,,,,,,,,,,,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a
