rsci_uuid,READY_sample_type,Chemical (CAS) No.,Chemical Formula,Chemical Name,READY_natural-synthetic
00068a07-2de1-4494-b82a-be757e5272dc,"stone, natural",,,,natural
00077780-1e3e-4146-b26c-c4fb71b104f9,pigment,(No CAS No. Provided),Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
00082c13-ef23-46f2-944b-c237784204d6,"stone, natural",,,,natural
000ff811-8e63-4226-ac6a-250fa796a206,prepared mixture,,,,
0010ff52-4ca5-45e1-b144-815fa8054bcd,"paint, gouache",,,,
0023af95-edcd-4481-a404-14f4ec704a7b,prepared mixture,,,,
0024880b-dd10-4d64-806c-b89a07c43a93,glass,,,,
0037571d-028b-4fce-9d5c-dcd345aef5ac,dye,,,,natural
003d14d2-2276-4997-936e-f8cf863ff75b,oil,8008-74-0,,"mostly glycerides of linoleic, oleic, palmetic and stearic acids",natural
003fd275-b4f8-4e2a-a848-6d28d09f76d8,gum,,,,natural
004432c6-dbd2-489c-b5e5-f5e436225953,"paint, watercolor",,,,
00467114-40bf-4e17-bbb5-248bfc0497fc,dye,,,,natural
00484b28-b1db-4349-825e-93f3eacb49d6,dye,12640-73-2,,(No chemical name provided),natural
004d5698-289a-4a2a-a8da-6f53bc1b6959,"stone, natural",,,,natural
00519dcb-27bd-4323-8fae-a384ef0d2f58,ink,,,,
005b6bad-02a1-45a7-87ff-b3a2380cf678,wood,,,,natural
005cea7e-521d-466f-ba51-bb8e8ddc97de,"stone, natural",,,,natural
005d7c1a-d5e1-4077-b029-d6b4fae40a2c,photographic paper,,,,synthetic
005e101e-0819-489b-88da-57936415e9db,pigment,,,,
00627050-9c08-4d91-97ba-be0d02bb8bd1,prepared mixture,,,,
0065c6bb-f7ea-49ab-ae06-d5668bca685c,photographic paper,,,,synthetic
006b20d6-f7c3-49ff-9e67-7417f6d4cdf1,dye,,,,natural
006dce28-cff2-4582-b72c-247d3c12a0a0,prepared mixture,,,,
0081052e-b59d-4eef-938c-4e26c09292a2,prepared mixture,,,,
008591a6-589a-450d-a1cd-82e29d38dbaa,"stone, natural",,,,natural
0087eb0b-07d9-4f57-b738-19c93491f39d,pigment,68187-11-1,,spinel of the cobalt-chrome-aluminium oxide system,synthetic
00897224-7ef0-42b5-b941-9966f39847cb,"paint, oil-based, water mixable",,,,synthetic
00898a70-e733-44f1-b7e8-b7c454701f5e,pigment,1344-48-5,HgS,Mercuric Sulfide,unknown
008ae03d-f105-42ed-aef6-83b14abd0bf9,wood,,,,natural
0096e1a3-8b9b-42a7-8572-41889a743eb1,"stone, natural",,,,natural
00a0b57a-bb01-40e4-bdad-f87ec946f5ee,wood,,,,natural
00a42c73-e36c-48a4-ad8f-df2c8862745d,"stone, natural",,,,natural
00a94916-7b52-4b52-9b93-509cc3c9537b,pigment,,,,synthetic
00a97020-71e8-4958-8510-2b7eed685bb4,paper,,,,natural
00aa22f6-d1fc-4d63-ac30-a87c818ea74d,wood,,,,natural
00b429c2-be56-4bfd-ba9e-16ff3e26380d,"paint, acrylic",,,,synthetic
00c31791-960b-47b4-bbdf-db55e0d04740,prepared mixture,,,,
00c418e5-d8a4-4fc9-bc38-8cac1c4f46ea,prepared mixture,,,,
00cf7f9d-56f8-486f-8beb-36f2453c029a,"stone, natural",,,,natural
00d176af-e3a8-4ca9-b4cb-c5281cdb9935,"paint, acrylic",,,,synthetic
00d2a825-909b-4ae1-af01-9271f1690fac,"stone, natural",,,,natural
00d2ebcf-67ea-4fce-a2eb-850a8f70190b,pigment,13455-36-2,Co3(PO4)2,Cobalt phosphate,
00d31eaf-a631-462a-bb26-cf86e04d4668,gum,,,,natural
00e2507c-cfa8-47c1-bef6-731873ad252d,pigment,1314-98-3,ZnS,(No chemical name provided),
00e71468-80b6-4cea-916b-07c22ba877cc,photographic film,,,,synthetic
00e74331-8cff-48fb-9e99-61bba450dbe9,photographic paper,,,,synthetic
00e90cb4-85c5-4739-907b-c5e249113afb,"stone, natural",,,,natural
00ecddea-bb76-4250-ae2f-8e2a9a79fa87,"stone, natural",,,,natural
00f4bee5-979b-4364-8f07-917960b6446d,prepared mixture,,,,
00f67bc0-a043-43b5-a7f2-c08b6558972c,"stone, natural",,,,natural
00ff516e-c5ef-4ef1-bb8e-a08c6dac2ea0,"paint, tempera",,,,
010080ab-6818-4bdd-a64e-518c8321442c,"paint, oil-based, water mixable",,,,
011007f5-1b4d-45ef-af0f-0c01426dc0b8,"resin, natural, oleoresin",,,,natural
0112b21c-4d39-40b3-8525-438fbab7a325,wood,,,,natural
011438f0-ec80-41b9-b659-e933d136bedb,wax,,,,
011454bd-e347-4db9-9670-6e09dfd1ce95,"paint, oil-based, water mixable",,,,synthetic
011864dc-e942-4e5c-a61d-f1dcfd842dfe,"paint, oil-based",,,,synthetic
011c915c-161a-41f0-8702-8738a2a6f35b,prepared mixture,,,,
011df805-5197-4fa8-807e-cc4737f69110,prepared mixture,,,,
012247cd-8e1c-4cd8-b71f-b38d1f5c8087,pigment,,,,synthetic
0122dca9-41b1-40dc-a129-c28f5424ddf5,"paint, acrylic",,,calcined natural iron oxide,natural
012563f6-04e6-4549-9e99-c0963d9427b9,"raw material, organic",,,,natural
01260001-9c93-4d3b-8b5d-ddff7f095461,other material,,,,natural
012cac11-24d7-441d-8f4d-6e0a27899ebe,"paint, encaustic",,,,synthetic
01301e7f-236c-4eea-bee7-6f3576c0ea81,"paint, acrylic",,,,synthetic
0135e1b5-20cb-4e47-85a6-bca29cae2f18,"stone, natural",,,,natural
013c409d-eb74-4708-959a-18864b4857af,prepared mixture,,,,
013ebc3f-717c-4291-a591-8a4701511bab,gum,,,,natural
013fa841-5a8d-40a8-b19e-3158cf8afba8,pigment,12069-69-1,CuCO3-Cu(OH)2,copper carbonate (green),
01411535-4c1a-4c5c-9c25-ddcda40b3bf1,pigment,,,"silica, clay, iron oxides, small amount of manganese dioxide",natural
01435481-edda-4790-b138-94c90c8bd193,pigment,,,iron oxide,
0146c950-c9c6-4e73-8e64-28d22ddfde75,"stone, natural",,,,natural
0148d3d4-26e3-48b3-bcbf-43cf844d85e1,dye,482-89-3,C16H10N2O2,"2-(1,3-Dihydro-3-oxo-2H-indazol-2-ylidene)-1,2-dihydro-3H-indol-3-one",
014c136a-8518-408c-9eda-e3c0117c0597,"resin, natural",,,,natural
014c406c-bfb4-4578-8465-7ab87c809519,additive,,,,synthetic
014f3550-32fe-4a0b-aef3-217d7ec5de6b,textile,,,,
0150e97a-4545-4752-ab97-acdd76626e00,filler,(No CAS No. Provided),CaCO3,natural calcium carbonate,natural
01565316-7a76-434e-a85a-fabd13aca1d3,ink,,,,
0159af9a-effe-4366-8277-5d3f8a148137,filler,(No CAS No. Provided),BaSO4,Barium sulfate,natural
0160ce8c-b643-48ef-a77c-6b8cc7891748,"stone, natural",,,,natural
0162e481-129d-4ebc-92e3-5904061d14d8,dye,520-36-5,C15H10O5,"4',5,7-Trihydroxyflavaone",natural
016507f3-9b4c-4507-8742-b233d2292f1a,varnish,,,,
0165bf03-8ee2-4af3-a79c-62c3c7a7c9af,"paint, acrylic",,,,synthetic
0167db52-65bf-4c96-a829-0c87dcff3188,"stone, natural",,,,natural
016823d4-a752-4a93-96cd-4ef0b55ac2ac,prepared mixture,,,,
0169ba01-141e-4624-bdca-d12467a79532,dye,80316-29-6,,(No chemical name provided),synthetic
01759cd0-f392-4299-9265-432c561e075d,textile,,,,
0175f298-5982-458b-9cfa-f907662cfc1c,oil,8001-26-1,,"mostly glycerides of linoleic, linolenic and oleic acids",natural
01825d58-d4c9-4ccd-964f-adccf52c8e14,pigment,,,"silica, clay, iron oxides, small amount of manganese dioxide",natural
01863299-1d83-44a7-862e-c50fcf3fb615,prepared mixture,,,,
018d7161-c6b4-49f9-9d6f-b30896163815,"paint, tempera",,,,
01924205-293a-4bf0-a84b-bb38d1e102a9,dye,600-76-0,C16H12O5,(No chemical name provided),natural
0196a4fd-3e8d-4bca-b200-075447e1e94e,pigment,,,"Silicium dioxide laminated with titanium dioxide, tin oxide, zirconic oxide and additives",synthetic
0198996c-989c-421e-91d3-53af0148faf6,pigment,,,,synthetic
019b7ed2-e49e-471d-b2fe-27ed3c209636,"stone, natural",,,,natural
