rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
14450e0e-659a-42f7-9cd8-963241914c5b,,,,,,,,,,,,
523e0913-0fb7-49b4-a201-396a5802eab1,,,,,,,,,,,,
ef3deae5-008d-42e0-b842-977348fca822,,,,,,,,,,,,
88f09e7f-5d06-4979-8d0f-25ae54c14e88,,,,,,,,,,,,
9e7c2118-4018-418b-ba26-500103bc89ce,,,,,,,,,,,,
3b0442e9-661d-493e-bf1d-be06e8d07d42,,,,,,,,,,,,
b0917f1a-36ec-44ea-afad-dbbf7d5447a5,,,,,,,,,,,,
d61e2d21-b830-4e49-b0b8-6a9b4638d2c7,,,,,,dried film,,,,,,
b03bd02d-841e-4d02-96ed-0bece3d04a4f,,,,,,,,,,,,
56d6046a-2466-47f6-8332-0c919a6b686c,,,,,,,,,,,,
08c0ab47-731a-406f-9565-a93195df832b,,,,,,,,,,,,
6bf05657-dd7a-4092-93a4-929160192a1d,,,,,,,,,,,,
965629a9-8979-41e0-8be7-a1effc3ce7b1,,,,,,,,,,,,
044c29e6-3997-4e14-8089-8dc1bf7cedb6,,,,,,,,,,,,
5d9e009e-e0d9-4e18-9988-9009eab73aba,,,,,,,,,,,,
22035290-4370-411c-b875-a643dc65c18c,,,,,,,,,,,,
36de6dfb-d8a1-4e4a-b326-44eda272b6fb,,,,,,,,,,,,
a0b8c1ef-1c05-4c39-b2f4-25dea31e3e4d,,,,,,,,,,,,
fdb05508-541f-4419-9ef9-c3b9424373cd,,,,,,,,,,,,
9fc541b2-4a75-4ef3-8201-23acd68dbb7f,,,,,,,,,,,,
82a6572f-53c3-4a95-bebc-7087fa43dbf7,,,,,,,,,,,,
0de5687a-779c-40f8-8cb3-171c979a9b87,,,,,,,,,,,,
25653d5c-5dbd-4b42-923a-8aa84f3fe3a2,,,,,,,,,,,,
a13b4945-8518-4cb6-b196-b047eb339880,,,,,,,,,,,,
da635a4f-a182-4929-80ac-289baf1267d7,,,,,,,,,,,,
d3e8c235-1a23-4bd7-aa13-afb4ecf9acda,,,,,,,,,,,,
68605614-c507-4df2-a7b0-760573fa435b,,,,,,,,,,,,
a5cf2c11-0783-480f-a3f8-778f2d96e1e3,,,,,,,,,,,,
c6148c09-a699-4918-8b55-5c8ee7bd84af,,,,,,,,,,,,
13bc2693-9645-49a8-afdd-61c63eb749a1,,,,,,,,,,,,
8e693287-7138-4714-86e7-5155a67bc0fe,,,,,,,,,,,,
e400ad9d-c371-4280-99e2-3466694be174,,,,,,,,,,,,
36f59177-a5f5-41e5-829a-d9b2d0cdb1e0,,,,,,,,,,,,
d6ef96ab-a520-4cd3-8bc9-1e2e6581a0d7,,,,,,,,,,,,
7790a8e0-83d6-4c76-9fcf-441e94c7e0c0,,,,,,,,,,,,
a578bf46-efe9-443a-979c-54949e937471,,,,,,,,,,,,
8c803092-2c38-4c4b-a501-02287c62a34f,,,,,,,,,,,,
5a0e4b4d-fefd-4f2b-a1e6-eaebd8e580a7,,,,,,,,,,,,
9ad0526f-8049-4c6a-b604-232501aca98e,,,,,,,,,,,,
6571c462-bdcc-4b04-95a0-64ce88273f80,,,,,,,,,,,,
0cf260ed-e994-4021-b025-a3a336b1e5fa,,,,,,,,,,,,
e4bb6286-2773-4309-a538-95fbc981ba65,,,,,,,,,,,,
945f5138-3e67-416b-8abb-b195d91772bf,,,,,,,,,,,,
e9eef1c9-90de-44ab-886e-c0cb0cacbc73,,,,,,,,,,,,
acf7427c-038a-40bd-b47c-f3df403c20ed,,,,,,,,,,,,
9dff3818-367f-465f-b866-d8a07917264e,,,,,,,,,,,,
61bafe42-d646-4130-8a0d-b6db3a29b520,,,,,,,,,,,,
8affb293-f839-43ea-b9ee-448805ca3553,,,,,,,,,,,,
cd8f32ed-8fcc-4f50-838b-5c0b630b842f,,,,,,,,,,,,
540ebf0a-ce57-4777-a206-530b1b941efd,,,,,,,,,,,,
cdc3e473-ad95-43c4-bb15-46f09bd67942,,,,,,,,,,,,
013c409d-eb74-4708-959a-18864b4857af,,,,,,,,,,,,
45092633-9a0b-4aa6-8835-01e4b941647a,,,,,,,,,,,,
34a98b3a-676b-4bf3-8a45-3c6ce5a35ab7,,,,,,,,,,,,
683a4059-fcdf-4649-9e77-7d962679ff67,,,,,,,,,,,,
29379057-40e0-447e-a35d-762177c0cb21,,,,,,,,,,,,
6f2ae1b4-423b-44d9-803e-46a43faa0e7f,,,,,,,,,,,,
