rsci_uuid,manu_label,manu_group_uuid,origin_date_begin_of_begin,origin_date_end_of_begin,origin_date_begin_of_end,origin_date_end_of_end
edba033c-480f-48d7-8d99-f3ebfbd86bcc,Production of Barcode No. 10529,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
271dabd5-0967-4ef7-8a13-d7e0cfacf690,Production of Barcode No. 10530,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
80c3411b-e90e-4f11-be65-799a46ba4046,Production of Barcode No. 10531,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
81575ebe-448e-41b2-807f-2e9851708279,Production of Barcode No. 10532,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
c12ed3b5-e084-44b0-a507-bda138301ac5,Production of Barcode No. 10533,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
295cc914-4fe5-483e-aa03-24ee933ea3f3,Production of Barcode No. 10534,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
1a86602b-bf8b-4b55-99d5-6b9dec0eae63,Production of Barcode No. 10535,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
32d1f0b3-ed37-4316-95fe-15f273958639,Production of Barcode No. 10536,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
b8cde2af-9d3b-48aa-b22c-d6a7d860690b,Production of Barcode No. 10537,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
8c127212-edae-4ad1-ab10-da0c1716b125,Production of Barcode No. 10577,30a8f7cc-290c-4e9c-8e3d-3de6fffa9c3a,,,,
0e30be36-71a4-4091-951b-047ca9b36a74,Production of Barcode No. 10581,388cfe08-5482-4dcd-af6c-baf6ef730ac1,,,,
c61e1926-94e9-459d-9bba-4f152404c1de,Production of Barcode No. 10583,b3eb611a-2137-4fcb-9aaa-d02c065b8a35,,,,
8c53e191-43a6-468b-8504-8ab0a53aeb9a,Production of Barcode No. 10584,b3eb611a-2137-4fcb-9aaa-d02c065b8a35,,,,
76c183ed-348a-42f9-9aff-49a687eab64f,Production of Barcode No. 10585,b3eb611a-2137-4fcb-9aaa-d02c065b8a35,,,,
63599dc6-14d3-4f86-9b4f-d657602e77d2,Production of Barcode No. 10586,12f976b1-73c3-4c8a-80df-89d3216bff10,,,,
7accaf24-ad8c-4206-9a14-8fd9778a9005,Production of Barcode No. 10587,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
5647876e-46e0-4e9a-9b36-64e73aefb2d9,Production of Barcode No. 10588,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
6e28f88a-ce58-4630-9a2d-b0c2a3e56518,Production of Barcode No. 10589,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
6ea0bd2f-1c09-4671-9fbd-364820f9ee5f,Production of Barcode No. 10590,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
decd8ebb-9bf2-4ffc-a641-046c6d3c3d0d,Production of Barcode No. 10591,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
844f7f65-ee51-4b27-ad93-cf993c1c1c5c,Production of Barcode No. 10592,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
c553a40e-e09c-4ad8-b66c-bbee1d7d8307,Production of Barcode No. 10593,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
ef55dc72-0dd4-47ad-81ee-91a2984c9c0c,Production of Barcode No. 10594,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
b2dcba73-b38b-4cd1-aa4f-b125147c06bf,Production of Barcode No. 10595,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
70dc9c77-f272-4375-be49-307b0178ba0e,Production of Barcode No. 10596,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
f9cf8b56-608e-4309-b26a-6e80366d93d6,Production of Barcode No. 10597,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
6db6e337-13de-468f-a100-5e7b8a73c7e3,Production of Barcode No. 10598,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
73646225-9796-4467-85dc-21127924d4fc,Production of Barcode No. 10599,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
eec155b8-6379-4041-856b-27479544ae25,Production of Barcode No. 10600,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
4907689c-7761-4742-8d1f-81330b5f558c,Production of Barcode No. 10601,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
703bceaf-9259-41f1-b529-a276f0e1c268,Production of Barcode No. 10602,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
a656528e-9e5a-4b8a-b5ad-f085523714d3,Production of Barcode No. 10603,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
4f329f92-319f-42d5-b3a8-1ba8521eecf3,Production of Barcode No. 10604,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
15760dfc-43ae-4132-80bc-d1078993c021,Production of Barcode No. 10605,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
edfd902d-3557-4f9b-b503-e2ea3300e9dd,Production of Barcode No. 10606,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
bde8dc10-724d-4a14-8a81-16f4b34009cc,Production of Barcode No. 10607,e6a6493b-6e52-4393-8948-1adaaab601fa,,,,
a93c9d14-c650-425d-9624-3113e9743b62,Production of Barcode No. 10610,681e8a9c-3bcf-46c9-a7c1-07f4e232e436,,,,
6e72512e-a130-4197-9815-d4f800bb6050,Production of Barcode No. 10611,8099abd7-a4e2-474d-9158-d717c79f9d8c,,,,
d1cfc3ae-a5dc-4e05-a358-28cdfbf4d3df,Production of Barcode No. 10612,8099abd7-a4e2-474d-9158-d717c79f9d8c,1941-01-01,1941-01-01,1941-12-31,1941-12-31
856e3242-7761-4f16-ad53-42f24a9aad67,Production of Barcode No. 10613,5f9ef8fc-bf41-4d2e-8678-64481c84beaf,1941-01-01,1941-01-01,1941-12-31,1941-12-31
0175f298-5982-458b-9cfa-f907662cfc1c,Production of Barcode No. 10614,8099abd7-a4e2-474d-9158-d717c79f9d8c,1941-01-01,1941-01-01,1941-12-31,1941-12-31
eabcd5a8-156c-44b7-bce3-8b1e11795e4d,Production of Barcode No. 10615,8099abd7-a4e2-474d-9158-d717c79f9d8c,1941-01-01,1941-01-01,1941-12-31,1941-12-31
4d278531-7e25-4e87-9c30-863107c60dae,Production of Barcode No. 10616,,1941-01-01,1941-01-01,1941-12-31,1941-12-31
bbdc32a6-49ba-4dee-b9e4-16c33e9a5026,Production of Barcode No. 10617,dfeb4d77-4495-442d-a523-c617f5a53be7,1936-01-01,1936-01-01,1936-12-31,1936-12-31
b484e65d-df9f-49de-995a-75452e47e482,Production of Barcode No. 10618,5f9ef8fc-bf41-4d2e-8678-64481c84beaf,1941-01-01,1941-01-01,1941-12-31,1941-12-31
a431be75-1c8f-4f69-b690-35d62a80e656,Production of Barcode No. 10619,8099abd7-a4e2-474d-9158-d717c79f9d8c,1941-01-01,1941-01-01,1941-12-31,1941-12-31
f798692b-1d89-488b-a1bd-962a695d2621,Production of Barcode No. 10620,,1941-01-01,1941-01-01,1941-12-31,1941-12-31
90b9f380-93cf-450e-9090-99b381a74c0b,Production of Barcode No. 10621,9d7a247d-a966-4816-ae53-1b92a612ca6c,,,,
07f963ec-cda4-48e7-ae9e-272f16ada136,Production of Barcode No. 10624,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
ef90134f-9553-4033-af22-762949b3261b,Production of Barcode No. 10625,a3c3758c-0dc4-45e3-b618-b91c5de1d543,,,,
f804cb44-f43c-434d-bed3-460c9c2d186f,Production of Barcode No. 10626,681e8a9c-3bcf-46c9-a7c1-07f4e232e436,,,,
4aa811b3-16f3-4007-a354-6df674307c74,Production of Barcode No. 10627,681e8a9c-3bcf-46c9-a7c1-07f4e232e436,,,,
4d32b648-9066-4ee8-9e96-13c5422fcbdb,Production of Barcode No. 10628,681e8a9c-3bcf-46c9-a7c1-07f4e232e436,,,,
f0d3936c-da69-4801-9b39-586acae4577c,Production of Barcode No. 10629,3aaa93a8-9401-40a6-8d20-1d8e1b8373c6,,,,
f153c83e-26f1-41c1-a46d-68f7b7dc69e9,Production of Barcode No. 10630,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
49aceccf-c4fc-4367-a463-d0219a8db675,Production of Barcode No. 10631,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
8a4a75e8-2607-4979-a8e6-bb5e1837283d,Production of Barcode No. 10632,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
ce22d18e-8ac8-4ab1-a1eb-ded4f070b324,Production of Barcode No. 10633,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
4825cb78-a006-4d2b-b79e-3dc97d0d62a6,Production of Barcode No. 10634,2dd299e2-2231-48a9-bebb-d4d25f195c1c,,,,
965dffb4-1c69-4f67-90c7-455d41053147,Production of Barcode No. 10635,681e8a9c-3bcf-46c9-a7c1-07f4e232e436,,,,
62d1a8ed-865a-4e58-b19c-feacd6cfb882,Production of Barcode No. 10636,cab4bb53-00d8-484e-ba52-cca175432515,,,,
