rsci_uuid,prod_label,specific_place_uri_1,specific_place_uri_2,place_uuid_1,geo_point_1,place_uuid_2,geo_point_2,manu_group_uuid,origination_date_statement,origin_date_begin_of_begin,origin_date_end_of_begin,origin_date_begin_of_end,origin_date_end_of_end,origin_date_edtf,READY_origination_date_edtf_1,READY_origination_date_edtf_2,READY_origination_date_edtf_3,READY_expiration_date_statement
00068a07-2de1-4494-b82a-be757e5272dc,Production of Barcode No. 21651,https://www.geonames.org/3695781,,8e172e25-9c4b-4c6f-856c-044d35e16ea6,"{""type"": ""Point"", ""coordinates"": [-78.5, -8.0]}",,,,,,,,,,,,,
00077780-1e3e-4146-b26c-c4fb71b104f9,Production of Barcode No. 10827,https://www.geonames.org/3169070,,32a41347-d661-4fb7-b8bb-63d19d17dd2c,"{""type"": ""Point"", ""coordinates"": [12.51133, 41.89193]}",,,,,1928-01-01,1928-01-01,1928-12-31,1928-12-31,1928-XX,1928,,,
00082c13-ef23-46f2-944b-c237784204d6,Production of Barcode No. 21591,https://www.geonames.org/1527747,,52157250-62c3-4911-b1c0-12245752bbc3,"{""type"": ""Point"", ""coordinates"": [75.0, 41.5]}",,,,,,,,,,,,,
000ff811-8e63-4226-ac6a-250fa796a206,Production of Barcode No. 16511,,,,,,,,,1993-01-01,1993-01-01,1993-12-31,1993-12-31,1993-XX,1993,,,
0010ff52-4ca5-45e1-b144-815fa8054bcd,Production of Barcode No. 12104,https://www.geonames.org/2759706,,b5af4eeb-3b14-4de0-9775-60c1d90b5331,"{""type"": ""Point"", ""coordinates"": [5.96944, 52.21]}",,,32bd8635-2328-4f70-9605-49ecab67fe3e,,,,,,,,,,
0023af95-edcd-4481-a404-14f4ec704a7b,Production of Barcode No. 16469,https://www.geonames.org/2643743,,3973c7cf-c3f1-4def-bee2-204a5d32eba9,"{""type"": ""Point"", ""coordinates"": [-0.12574, 51.50853]}",,,2c4ea4a0-48aa-44fd-836e-cc6d174290c0,,1993-01-01,1993-01-01,1993-12-31,1993-12-31,1993-XX,1993,,,
0024880b-dd10-4d64-806c-b89a07c43a93,Production of Barcode No. 13698,https://www.geonames.org/5096371,,814fabf0-6af3-4a72-a864-d0795bd5cf23,"{""type"": ""Point"", ""coordinates"": [-74.22903, 40.85177]}",,,a0899756-885b-421c-8a9f-670b360bfe1d,,,,,,,,,,
0037571d-028b-4fce-9d5c-dcd345aef5ac,Production of Barcode No. 16941,https://www.geonames.org/2921044,,db85b422-ea1b-4de9-b3e5-2199aab0fafb,"{""type"": ""Point"", ""coordinates"": [10.5, 51.5]}",,,dbcb84f0-b25c-405f-938a-bc3fa3df07e0,,1978-01-01,1980-01-01,1980-12-31,1982-12-31,1980?,1980~,,,
003d14d2-2276-4997-936e-f8cf863ff75b,Production of Barcode No. 15037,,,,,,,442874bc-36b4-4f5c-86da-9852526cd5ad,,1975-01-01,1975-01-01,1975-12-31,1975-12-31,1975-XX,1975,,,
003fd275-b4f8-4e2a-a848-6d28d09f76d8,Production of Barcode No. 16290,https://www.geonames.org/2643743,,3973c7cf-c3f1-4def-bee2-204a5d32eba9,"{""type"": ""Point"", ""coordinates"": [-0.12574, 51.50853]}",,,2c4ea4a0-48aa-44fd-836e-cc6d174290c0,,,,,,,,,,
