rsci_uuid,set_uuid,prov_act_uuid,prov_act_name,Acquisition Date__begin_of_the_begin,Acquisition Date__end_of_the_begin,Acquisition Date__begin_of_the_end,Acquisition Date__end_of_the_end,acq_by_person_1_uuid,acq_by_person_2_uuid,acq_by_group_1_uuid,acq_by_group_2_uuid,acq_from_group_1_uuid,acq_from_group_2_uuid
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,f83740d0-55a6-4d70-8e54-a706b7709b1e,Acquisition of Barcode 1,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
c652dc8a-35d0-4004-85c6-d5a0491f46fc,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,a74caff6-e1de-4337-84ad-2ff5bcf162ac,Acquisition of Barcode 2,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
6b999fe8-f429-4f08-83dc-1c22ec7da40f,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,a647ac2e-e701-457f-b9d8-dca122cfcc5e,Acquisition of Barcode 3,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
7c509df8-3a2c-4f19-ab07-5934252f1b19,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,2b4ae24c-1c39-49d1-ba5d-ffe87f7c7dd5,Acquisition of Barcode 4,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
f5530d89-9bcc-421f-a905-340af3e4d4d9,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,4e634649-3e68-445a-9b69-eb4d2d40eacb,Acquisition of Barcode 5,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
fdf868bf-33cb-4866-b49a-0f1e6dd41153,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,04d3443d-2bfc-4b3d-af9a-8224747717ba,Acquisition of Barcode 6,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
624aea12-09c0-48a7-a04b-7222e38cb393,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,8b36e135-96ef-4c95-b149-85910c673d53,Acquisition of Barcode 7,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
b7818cbb-6006-4ccc-a799-ee8e5612369b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,cf0ae2e0-390f-4d70-a17d-66b55697ed11,Acquisition of Barcode 8,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
b8759279-f6a2-4969-9d62-47628a505f7b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,d96148d7-7dcc-4c46-b338-b4f90d07ad86,Acquisition of Barcode 9,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
60ee2f5a-003b-4968-948a-886312787148,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,af8527a4-3bc9-4f37-a8d2-3bf9c44eb592,Acquisition of Barcode 0,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
4c157501-ed3b-4bd2-b063-c482d301a8d1,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,feafa586-131a-471a-9f99-d04a0937aa0f,Acquisition of Barcode 011,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
a0c71fb3-9cb8-4351-b075-973d7bcd3f02,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,c9bc2efa-b7e5-454a-95d7-d8fe81c17152,Acquisition of Barcode 012,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
46c41b35-3426-491f-8cec-323183079a81,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,49fe6c64-9922-44a9-b2ae-b3f39271819c,Acquisition of Barcode 013,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,
