rsci_uuid,set_uuid,Acquisition Date__begin_of_the_begin,Acquisition Date__end_of_the_begin,Acquisition Date__begin_of_the_end,Acquisition Date__end_of_the_end,acq_by_person_1_uuid,acq_by_person_2_uuid,acq_by_group_1_uuid,acq_by_group_2_uuid,acq_from_group_1_uuid,acq_from_group_2_uuid,acquisition_note,acquisition_type
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
c652dc8a-35d0-4004-85c6-d5a0491f46fc,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
6b999fe8-f429-4f08-83dc-1c22ec7da40f,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
7c509df8-3a2c-4f19-ab07-5934252f1b19,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
f5530d89-9bcc-421f-a905-340af3e4d4d9,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
fdf868bf-33cb-4866-b49a-0f1e6dd41153,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
624aea12-09c0-48a7-a04b-7222e38cb393,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b7818cbb-6006-4ccc-a799-ee8e5612369b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
b8759279-f6a2-4969-9d62-47628a505f7b,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
60ee2f5a-003b-4968-948a-886312787148,e6d28c12-9efa-4d22-8ac9-acdb8a4f6087 ,1986-01-01,1986-01-01,1986-12-31,1986-12-31,f7620677-1d0e-4558-ae1e-790012525971,,,,ba6ddc23-dd24-4162-a5a2-32afda5654f0,,,"[{""uri"": ""http://vocab.getty.edu/aat/300417644"", ""labels"": [{""id"": ""d0c85f2c-5f85-40d0-87b9-191fb71c507d"", ""value"": ""transfer (method of acquisition)"", ""language_id"": ""en"", ""list_item_id"": ""8913b62a-23fe-4a7e-aeca-52356160b92e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f3eca78c-7547-4ca5-a7eb-b130391b40ed""}]"
