rsci_uuid,Color,color_use,color_split 1,color_split 2,color_split 3,color_a_type_uuid,color_b_type_uuid,color_c_type_uuid,color_d_type_uuid,color_type_uuids
edba033c-480f-48d7-8d99-f3ebfbd86bcc,White,White,,,,4d16adba-e698-463d-9d2c-efbb2b0897c5,,,,"[""4d16adba-e698-463d-9d2c-efbb2b0897c5""]"
271dabd5-0967-4ef7-8a13-d7e0cfacf690,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
80c3411b-e90e-4f11-be65-799a46ba4046,Black,Black,,,,f6e81a55-08b1-4d8c-82b5-3a7847db01ec,,,,"[""f6e81a55-08b1-4d8c-82b5-3a7847db01ec""]"
81575ebe-448e-41b2-807f-2e9851708279,Red,Red,,,,998d35b2-cd0c-41a8-8296-5e229701bde3,,,,"[""998d35b2-cd0c-41a8-8296-5e229701bde3""]"
c12ed3b5-e084-44b0-a507-bda138301ac5,Blue,Blue,,,,3cac3ac3-7c0e-48bd-9b91-cf463b7767e8,,,,"[""3cac3ac3-7c0e-48bd-9b91-cf463b7767e8""]"
295cc914-4fe5-483e-aa03-24ee933ea3f3,Blue,Blue,,,,3cac3ac3-7c0e-48bd-9b91-cf463b7767e8,,,,"[""3cac3ac3-7c0e-48bd-9b91-cf463b7767e8""]"
1a86602b-bf8b-4b55-99d5-6b9dec0eae63,Black,Black,,,,f6e81a55-08b1-4d8c-82b5-3a7847db01ec,,,,"[""f6e81a55-08b1-4d8c-82b5-3a7847db01ec""]"
32d1f0b3-ed37-4316-95fe-15f273958639,Orange,Orange,,,,b7a2bb22-6c1d-41ab-90a8-730875306043,,,,"[""b7a2bb22-6c1d-41ab-90a8-730875306043""]"
b8cde2af-9d3b-48aa-b22c-d6a7d860690b,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
de6df9dd-8f89-4e04-a020-88fb773c74b7,Brown,Brown,,,,bb3d1a69-3ffa-4a21-b94e-8fa994d87446,,,,"[""bb3d1a69-3ffa-4a21-b94e-8fa994d87446""]"
2b3c18a6-6598-4ce3-9e8b-f11c47487151,Brown,Brown,,,,bb3d1a69-3ffa-4a21-b94e-8fa994d87446,,,,"[""bb3d1a69-3ffa-4a21-b94e-8fa994d87446""]"
8c127212-edae-4ad1-ab10-da0c1716b125,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
de6171d7-df49-4530-90b4-b8b8d9c0489d,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
8c53e191-43a6-468b-8504-8ab0a53aeb9a,Red,Red,,,,998d35b2-cd0c-41a8-8296-5e229701bde3,,,,"[""998d35b2-cd0c-41a8-8296-5e229701bde3""]"
76c183ed-348a-42f9-9aff-49a687eab64f,Brown,Brown,,,,bb3d1a69-3ffa-4a21-b94e-8fa994d87446,,,,"[""bb3d1a69-3ffa-4a21-b94e-8fa994d87446""]"
7accaf24-ad8c-4206-9a14-8fd9778a9005,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
5647876e-46e0-4e9a-9b36-64e73aefb2d9,Yellow,Yellow,,,,835f1ef7-57a4-4c51-96ad-8ec63489e5ff,,,,"[""835f1ef7-57a4-4c51-96ad-8ec63489e5ff""]"
6e28f88a-ce58-4630-9a2d-b0c2a3e56518,Gray,Gray,,,,444fe2e7-9ed7-4bef-bd57-947ffc1dd822,,,,"[""444fe2e7-9ed7-4bef-bd57-947ffc1dd822""]"
6ea0bd2f-1c09-4671-9fbd-364820f9ee5f,Green,Green,,,,d50967f8-b23c-4590-a5d0-866c2683cec2,,,,"[""d50967f8-b23c-4590-a5d0-866c2683cec2""]"
decd8ebb-9bf2-4ffc-a641-046c6d3c3d0d,Orange,Orange,,,,b7a2bb22-6c1d-41ab-90a8-730875306043,,,,"[""b7a2bb22-6c1d-41ab-90a8-730875306043""]"
844f7f65-ee51-4b27-ad93-cf993c1c1c5c,Brown,Brown,,,,bb3d1a69-3ffa-4a21-b94e-8fa994d87446,,,,"[""bb3d1a69-3ffa-4a21-b94e-8fa994d87446""]"
c553a40e-e09c-4ad8-b66c-bbee1d7d8307,Orange,Orange,,,,b7a2bb22-6c1d-41ab-90a8-730875306043,,,,"[""b7a2bb22-6c1d-41ab-90a8-730875306043""]"
