rsci_uuid,Component1,comp1_n,comp1_g,comp1_p,Component2,comp2_n,comp2_g,comp2_p,Component3,comp1_part_type_uuid,comp2_part_type_uuid,comp3_part_type_uuid
3b0442e9-661d-493e-bf1d-be06e8d07d42,Rabbit skin glue,,,,water?,,,,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
b0917f1a-36ec-44ea-afad-dbbf7d5447a5,Rabbit skin glue,,,,water?,,,,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
d61e2d21-b830-4e49-b0b8-6a9b4638d2c7,Rabbit skin glue,,,,water?,,,,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
b03bd02d-841e-4d02-96ed-0bece3d04a4f,Gum arabic,,,,water?,,,,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
56d6046a-2466-47f6-8332-0c919a6b686c,Gum arabic,,,,water?,,,,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
53ff805c-c13f-4f84-9110-708a0a3b429d,0.040 g linseed oil,0.04,g,linseed oil,39.960 g dammar resin,39.96,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
10f25076-5449-4540-b33f-4135228b5566,0.040 g linseed oil,0.04,g,linseed oil,39.960 g dammar resin,39.96,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
46276f2a-b70b-496c-8577-a01e00b09d7c,0.040 g linseed oil,0.04,g,linseed oil,39.960 g dammar resin,39.96,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
c854d91d-3504-4e48-b61b-bbec668e00a8,0.040 g linseed oil,0.04,g,linseed oil,39.960 g dammar resin,39.96,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
ac1313c0-f721-4a3e-a6ff-b46befca7e06,0.071 g linseed oil,0.071,g,linseed oil,34.930 g dammar resin,34.93,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
9194bc4e-cd04-4337-8ab8-27b6c36e8262,0.071 g linseed oil,0.071,g,linseed oil,34.930 g dammar resin,34.93,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
9560aa4c-45c6-4dcf-8fb0-3dfb1dc81522,0.071 g linseed oil,0.071,g,linseed oil,34.930 g dammar resin,34.93,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
14c08612-4c9e-40c8-a119-ea8f9b5ad142,0.071 g linseed oil,0.071,g,linseed oil,34.930 g dammar resin,34.93,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
1d16177e-1cf6-422a-a0ad-6c93518bd90e,0.202 g linseed oil,0.202,g,linseed oil,20.000 g dammar resin,20.0,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
e91bfdb9-eca4-4bb7-b1b3-6daf15248edf,0.202 g linseed oil,0.202,g,linseed oil,20.000 g dammar resin,20.0,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
54ff6a33-f98d-4077-b3e3-33c03e142521,0.202 g linseed oil,0.202,g,linseed oil,20.000 g dammar resin,20.0,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
2870f186-ac91-4c51-8353-8be8d4ea163e,0.202 g linseed oil,0.202,g,linseed oil,20.000 g dammar resin,20.0,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
81ff6f07-e9fe-4989-9cc0-3d623fd6a5ff,0.500 g linseed oil,0.5,g,linseed oil,24.501 g dammar resin,24.501,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
22c151d9-3d2a-4a91-8940-fb18dfc5052b,0.500 g linseed oil,0.5,g,linseed oil,24.501 g dammar resin,24.501,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
422ee00e-b14f-4693-8191-d6b007ffc914,0.500 g linseed oil,0.5,g,linseed oil,24.501 g dammar resin,24.501,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
1e17ced3-44de-4155-abf9-6501b924407e,0.500 g linseed oil,0.5,g,linseed oil,24.501 g dammar resin,24.501,g,dammar resin,,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,
