rsci_uuid,Grid Location,current_location_place_resourceid,current_location_place_dict,current_location_statement
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""3bccc8a3-3d50-41e3-89c3-cbe10292cced"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
c652dc8a-35d0-4004-85c6-d5a0491f46fc,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""6b33fdcb-8862-4787-946d-2cfd5ece1b87"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
6b999fe8-f429-4f08-83dc-1c22ec7da40f,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""9c87759e-4077-4cd8-b9b7-7839fb6ba862"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
7c509df8-3a2c-4f19-ab07-5934252f1b19,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""e77462a3-2ed4-42ee-9690-4566f7fbee89"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
f5530d89-9bcc-421f-a905-340af3e4d4d9,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""6ca4e4dc-7692-4874-8714-43bc1f22252f"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
fdf868bf-33cb-4866-b49a-0f1e6dd41153,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""817e9cf8-8e9f-421f-841c-50dbc6991592"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
624aea12-09c0-48a7-a04b-7222e38cb393,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""45a89aba-4387-4c0c-bffa-01f434c46d55"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
b7818cbb-6006-4ccc-a799-ee8e5612369b,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""073d0feb-a4b0-40ea-b3ad-e99378601374"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
b8759279-f6a2-4969-9d62-47628a505f7b,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""9200bcc5-a183-486e-b895-8b661a7e7f81"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
60ee2f5a-003b-4968-948a-886312787148,8-A-1,52c75bc1-7797-4ef8-b829-7ce771e4968a,"[
    {
        ""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"",
        ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"",
        ""resourceXresourceId"": ""f016a56d-e1b6-49fb-99bc-538021426ef5"",
        ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""
    }
]",Grid Location: 8-A-1
