rsci_uuid,Fire Safety,Health Safety,Other Safety,Reactivity Safety,group_uuid,fire_safety_value_uuid,health_safety_value_uuid,other_safety_value_uuid,reactivity_safety_value_uuid
df70f11c-faf2-49ae-a24e-ba3d1e9ba64c,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
4f1a7dbd-a3f4-43c3-8532-222dc317eed2,0.0,0.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,32ee5079-c1a0-4528-b2b9-a8559cce25e4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
2cf79ab2-4c65-4c23-9700-1a98b2da84b7,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
dcb1ddbc-c4aa-40a8-b388-a9bbffbbfd41,0.0,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
20d5d32f-18be-4c12-a4bc-0adbc02717b1,,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
ac5b1365-4179-42b4-958d-bb261d8658e3,0.0,1.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
c9052b7c-ff70-41bd-b517-ca23d304216f,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
d0f531e4-a880-4ffa-bbeb-e7e560f2ea09,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
565964d1-01f4-4a7d-8aee-5345deb51a32,,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
a1199004-3a5b-4360-9114-bab564feaf0d,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
d5823eb7-e4eb-4399-8452-9d5e52a9ea26,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
4c7df7eb-f06b-492c-9328-23f935530f0a,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
03d08aa5-9f04-4f06-a703-771f5fac50ac,,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
328d6b8a-e2b3-4234-8a1f-8fd1ad9a3c81,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
813f90a1-6257-48a2-a720-610c06f35207,,1.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,4fc13889-bc88-4fc5-8ae8-56748363caf4,,
8c127212-edae-4ad1-ab10-da0c1716b125,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
