rsci_uuid,Chemical Name,Mixture Type,Sample Type,Typical Use,sample_type_value_uuid,typical_use_value_uuid,mixture_type_value_uuid,mixture_type_pref_label,sample_type_pref_label,typical_use_pref_label,mixture_type_value_uuids,object_type_value_uuids
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
c652dc8a-35d0-4004-85c6-d5a0491f46fc,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
6b999fe8-f429-4f08-83dc-1c22ec7da40f,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
7c509df8-3a2c-4f19-ab07-5934252f1b19,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
f5530d89-9bcc-421f-a905-340af3e4d4d9,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
fdf868bf-33cb-4866-b49a-0f1e6dd41153,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
624aea12-09c0-48a7-a04b-7222e38cb393,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b7818cbb-6006-4ccc-a799-ee8e5612369b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b8759279-f6a2-4969-9d62-47628a505f7b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
60ee2f5a-003b-4968-948a-886312787148,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4c157501-ed3b-4bd2-b063-c482d301a8d1,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
a0c71fb3-9cb8-4351-b075-973d7bcd3f02,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
46c41b35-3426-491f-8cec-323183079a81,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4eb946bb-b200-4086-92c8-e2bfd121372d,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
