rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
00068a07-2de1-4494-b82a-be757e5272dc,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00077780-1e3e-4146-b26c-c4fb71b104f9,,,Pigment,Colorant,,pigments,,"[""pigments""]",,inorganic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00082c13-ef23-46f2-944b-c237784204d6,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000ff811-8e63-4226-ac6a-250fa796a206,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,,,,,,,,,9afb2d50-f493-4b28-81de-7f282bb8ec60,(From reference sample: Wax + Lead White),base mixture with colorant,,,,Measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,,,,,,,,
0010ff52-4ca5-45e1-b144-815fa8054bcd,,,"Paint, gouache",Colorant,,gouache (paint),,"[""gouache (paint)""]",,organic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023af95-edcd-4481-a404-14f4ec704a7b,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,organic - inorganic mixture,,,,,,,,,,74523a67-f70e-4e3d-b35f-8fa5b28051d5,(From reference sample: Mastic + Yellow Ochre),base mixture with colorant,,,,Measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,,,,,,,,
0024880b-dd10-4d64-806c-b89a07c43a93,,,Glass,,,glass (material),,"[""glass (material)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037571d-028b-4fce-9d5c-dcd345aef5ac,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003d14d2-2276-4997-936e-f8cf863ff75b,,,Oil,Vehicle / Solvent,,oil (organic material),,"[""oil (organic material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003fd275-b4f8-4e2a-a848-6d28d09f76d8,,,Gum,Binding Medium,,gum (material),,"[""gum (material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004432c6-dbd2-489c-b5e5-f5e436225953,,,"Paint, watercolor",Colorant,,watercolor (paint),,"[""watercolor (paint)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00467114-40bf-4e17-bbb5-248bfc0497fc,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00484b28-b1db-4349-825e-93f3eacb49d6,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004d5698-289a-4a2a-a8da-6f53bc1b6959,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00519dcb-27bd-4323-8fae-a384ef0d2f58,,,Ink,Colorant,,ink,,"[""ink""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005b6bad-02a1-45a7-87ff-b3a2380cf678,Mora excelsa,https://www.gbif.org/species/5355414,Wood,Construction Material,Mora excelsa (https://www.gbif.org/species/5355414),wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005cea7e-521d-466f-ba51-bb8e8ddc97de,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005d7c1a-d5e1-4077-b029-d6b4fae40a2c,,,Photographic Paper,Photography,,photographic paper,,"[""photographic paper""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005e101e-0819-489b-88da-57936415e9db,,,Pigment,Colorant,,pigments,,"[""pigments""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00627050-9c08-4d91-97ba-be0d02bb8bd1,,,,,,,,,,,,Mixture prepared with 80.803 g of turpentine and no water,,,,,,,,,,,,,,,Dammar Resin (Kremer Pigmente),,,18.865,Gram,Mass,(No note),Whole Egg,,,0.038,Gram,Mass,(No note),,,,,,,
0065c6bb-f7ea-49ab-ae06-d5668bca685c,,,Photographic Paper,Photography,,photographic paper,,"[""photographic paper""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006b20d6-f7c3-49ff-9e67-7417f6d4cdf1,,,Dye,Colorant,,dye,,"[""dye""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006dce28-cff2-4582-b72c-247d3c12a0a0,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,,Lead White (Kremer Pigmente),,colorant,11.401,Gram,Mass,(No note),7f94ce85-a017-41ab-87d0-2ff727fc8e2c,(From reference sample: Oil (98) / Glue (2.0)),base mixture,5.265,Gram,Mass,(No note),,,,,,,,,,,,,,,,,,,,,
0081052e-b59d-4eef-938c-4e26c09292a2,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,Mixture prepared with solvent,,,,,,,,2ec303d5-eaca-494e-a409-e4c2944c8be5,(From reference sample: Resin (50) / Glue (50)),base mixture,,,,Base mixture measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,,,,,,,,
008591a6-589a-450d-a1cd-82e29d38dbaa,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0087eb0b-07d9-4f57-b738-19c93491f39d,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00897224-7ef0-42b5-b941-9966f39847cb,,,"Paint, oil-based, water mixable",Colorant,,water miscible oil paint,,"[""water miscible oil paint""]",synthetic,organic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00898a70-e733-44f1-b7e8-b7c454701f5e,,,Pigment,Colorant,,pigments,,"[""pigments""]",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008ae03d-f105-42ed-aef6-83b14abd0bf9,,,Wood,Construction Material,,wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
