fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,b070d174-5b30-4a87-bec0-7bfa9fd6272e,16755,ADD,2466-09-3,2466-09-3,,,,,H4O7P2,Pyrophosphoric acid,
,60c42c5f-fed2-45e3-9c08-c01d51f915e5,16861,DYE,6409-10-5,6409-10-5,,,,,C20H14N2O4S.Na,"1-Naphthalenesulfonic acid, 4-((4-hydroxy-1-
naphthalenyl)azo)-, monosodium salt",
,950de961-5941-471d-9ea6-18cd22a0d6b3,17003,DYE,6409-10-5,6409-10-5,,,,,C20H14N2O4S.Na,"1-Naphthalenesulfonic acid, 4-((4-hydroxy-1-
naphthalenyl)azo)-, monosodium salt",
,35d4bb35-2438-43f6-a7d6-d0b6b3ce344c,14791,PIG,7789-06-2,7789-06-2,,,,,SrCrO4,strontium chromate,
,e2e8a9a1-28bb-459a-a550-d0f15dbd9a6a,15487,PIG,7789-06-2,7789-06-2,,,,,SrCrO4,strontium chromate,
,047a3278-19c9-4c84-bcb0-2c759e8640c5,10675,OIL,8002-03-7,8002-03-7,,,,,,(No chemical name provided),
,4a565846-217f-41d3-8c9d-eaf727d1ed48,11406,OIL,8002-03-7,8002-03-7,,,,,,(No chemical name provided),
,e6b88b05-4a36-47f6-aae3-7b2765a585f5,11388,OIL,8002-09-3,8002-09-3,,,,,,(No chemical name provided),
,07f963ec-cda4-48e7-ae9e-272f16ada136,10624,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,f0d3936c-da69-4801-9b39-586acae4577c,10629,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,965dffb4-1c69-4f67-90c7-455d41053147,10635,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,62d1a8ed-865a-4e58-b19c-feacd6cfb882,10636,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,f4f1a796-3066-44ba-a8cf-8b4ae27ae31a,10641,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,709c20fd-63ce-4c9f-b79c-350bdac4ddda,10642,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,d6df342b-8b05-4336-81d6-a280bef2e94a,10644,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,51d5261c-d47e-411e-8f69-b4b65bf0847c,10651,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,b377b5ba-a053-4541-b847-7aa4cc365cb0,10663,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,daf602f7-11a8-419b-be05-b2f19d407842,10683,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,a9560463-5050-4fc7-8161-4b4c4b0fabe2,10684,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,16e1ed6b-6a1e-44be-b1a0-5eff00a29e5f,10708,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,42006296-e41c-4e18-9bf5-a6502c248994,10719,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,33e9cc67-6b35-413c-97a1-209397b0438c,10724,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,3a93b666-864c-48dc-adf4-e2af0278570a,10728,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,bb9f2ab9-4756-4d2b-a56b-881eb379475c,10729,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,47f7722b-b0b4-4f4a-b623-d89f28d8f879,10732,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,167f6dfa-d608-4a84-a53f-c2c2e584016b,10733,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
,4b13c975-beef-46df-94eb-e508ea897ac2,10735,OIL,8002-11-7,8002-11-7,,,,,,(No chemical name provided),
