row,field_name,sample_uuid,SampRpt,report_uuid,SampID,SampBy,samp_by_edit 1,samp_by_edit 2,samp_by_edit 3,samp_by_edit 4,SampDate,SampDate_edtf,SampMaterial,SampType,FieldProj,Country,place_uuid,country_new_uuid,Site/Provenance,SubSite,SampLoc,SampDescript,StoreLoc
1,Field Sample 1,354acf14-7cdb-4132-8e28-20360e57a415,,,Orpheus_1988_01,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Mosaics,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,"Room of Narcissus – fill up and frame area on east side, near SE corner","1 unaffected white tessera, approx.  12 x 8 x 8 mm.",1-6-E
2,Field Sample 2,637066df-3f97-4aee-a1fd-44388042e13a,"Eric Doehne. Electron microprobe p. 47, fig. 45 (Stanley-Price 1991)",58ab79d0-230e-4a99-b8c9-6c60c0244432,Orpheus_1988_02,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,"Room of Narcissus – fill up and frame area on east side, near SE corner","2 stained white tesserae, brown crust on tesserae surface, small fragmentary pieces.",1-6-E
3,Field Sample 3,420f9ab3-4ae6-4054-a603-b983530ba507,Eric Doehne. Electron microprobe p. 47 fig. 46  (Stanley-Price 1991),136c94fa-6366-4a18-87c1-49834e8b2d71,Orpheus_1988_03,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Hunting scene in south portico above deer,1 white tesserae with white salts.  approx. 10 x 10 x 10 mm.,1-6-E
4,Field Sample 4,7ac1a05c-34fc-4084-970a-9964bb2969ad,"Eric Doehne. Electron microprobe p. 47, fig. 47.  (Stanley-Price 1991)",9c33eb77-ea73-4b22-ae42-420972bdbb04,Orpheus_1988_04,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Hunting scene in south portico above and to the right of deer,"2 stained white tesserae, (treated area) approx. 15 x 15 x 10 mm.",1-6-E
5,Field Sample 5,2c72cb1d-dce3-451e-998f-938d3f32e583,,,Orpheus_1988_05,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Hunting scene in south portico above and to the right of deer,"2 untreated white tesserae with stains, stain forms distinct brown crust on surface.  Approx. 20 x 10 x 5 mm",1-6-E
6,Field Sample 6,8070d9ca-37f7-4bd4-8159-785c51151be8,,,Orpheus_1988_06,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Hunting scene in south portico above deer,"1 unaffected white tessera, (treated area) Approx. 20 x 15 x 10 mm.",1-6-E
7,Field Sample 7,565cdf39-2d56-4de9-99dc-6baaac6535ec,"Eric Doehne. Electron microprobe p. 47, fig. 48  (Stanley-Price 1991)",493d7f6d-7722-4acc-a80e-267d5701b381,Orpheus_1988_07,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Geometric mosaic with circles – west side,"2 untreated white tesserae unaffected, Approx. 5 x 5 x 5 mm.  White mortar attached to tesserae.",1-6-E
8,Field Sample 8,42e58f4f-22fd-4575-ba98-016d82de2fd6,,,Orpheus_1988_08,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Geometric mosaic with circles – west side,"2 stained white tesserae, approx. 5 x 5 x 10 mm, some conservation material on the surface?",1-6-E
9,Field Sample 9,278be798-c043-4692-bb2c-83ee16a5d69f,,,Orpheus_1988_09,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Geometric mosaic with circles – central area,2 unaffected white tesserae Approx. 10 x 10 x 5 mm,1-6-E
10,Field Sample 10,e2d8ded7-d2ca-400f-9f8b-ca4b2874f9ad,,,Orpheus_1988_10,GCI,Getty Conservation Institute,,,,1988,1988,tessera,,Orpheus,Cyprus,273313a0-f61a-4462-b7fd-8c11d43e9f90,,Paphos,House of Dionysus,Geometric mosaic with circles – west end,"2 yellowed tesserae.  Approx. 5 x 5 x10 mm, pink mortar attached to tesserae.",1-6-E
