Source Column,Card Name,Resource Model,Target Table,Target Field,Model Staging Schema,Data Type,Description,Additional Notes
rsci_uuid,,,instances,resourceinstanceid,reference_and_sample_collection_item,UUID,Primary key for RSCI records,Used as the main identifier for all RSCI records
Common Name,Name of Object,Reference and Sample Collection Item,name,name_content,reference_and_sample_collection_item,JSONB,Primary name of the RSCI record,Stored as JSON with language information
Additional Names,Name of Object,Reference and Sample Collection Item,name,name_content,reference_and_sample_collection_item,JSONB,Alternative names for the RSCI record,Stored as JSON with language information
Barcode No.,Identifier of Object,Reference and Sample Collection Item,identifier,identifier_content,reference_and_sample_collection_item,JSONB,Unique identifier for the RSCI record,Stored as JSON with language information
facet_type_value_uuid,Search Facet,Reference and Sample Collection Item,facet_type,facet_type,reference_and_sample_collection_item,UUID,Type classification of the RSCI record,References a concept value
Physical Form,Statement or Interpretation about Object,Reference and Sample Collection Item,statement,statement_content,reference_and_sample_collection_item,JSONB,Physical description of the RSCI record,Stored as JSON with language information
Chemical Name,Material Data Assignment Name,Reference and Sample Collection Item,material_data_assignment_name,material_data_assignment_name_content,reference_and_sample_collection_item,JSONB,Chemical name of the material,Stored as JSON with language information
gbif_canonical_name,Name of Object,Reference and Sample Collection Item,name,name_content,reference_and_sample_collection_item,JSONB,GBIF taxonomic name,Stored as JSON with language information
gbif_uri,Statement or Interpretation about Object,Reference and Sample Collection Item,statement,statement_content,reference_and_sample_collection_item,JSONB,GBIF URI reference,Combined with gbif_canonical_name to create statement
Mixture Type,Type of Mixture,Reference and Sample Collection Item,mixture_type,mixture_type,reference_and_sample_collection_item,ARRAY(UUID),Type of mixture,Stored as array of concept value UUIDs
Natural/Synthetic,Attribute Type,Reference and Sample Collection Item,attribute_type,attribute_type,reference_and_sample_collection_item,ARRAY(UUID),Natural or synthetic classification,Stored as array of concept value UUIDs
Sample Type,Material(s) of Object,Reference and Sample Collection Item,material,material,reference_and_sample_collection_item,ARRAY(UUID),Type of sample,Stored as array of concept value UUIDs
Typical Use,Material(s) of Object,Reference and Sample Collection Item,material,material,reference_and_sample_collection_item,ARRAY(UUID),Typical use of the material,Stored as array of concept value UUIDs
Component1,Component,Reference and Sample Collection Item,has_part,part_name_content,reference_and_sample_collection_item,JSONB,First component name,Part of component 1 data
comp1_n,Component Dimension,Reference and Sample Collection Item,part_dimension,part_dimension_value_,reference_and_sample_collection_item,Numeric,First component numeric value,Part of component 1 data
comp1_g,Component Dimension,Reference and Sample Collection Item,part_dimension,part_dimension_unit,reference_and_sample_collection_item,UUID,First component unit,Part of component 1 data
comp1_p,Component,Reference and Sample Collection Item,has_part,part_name_content,reference_and_sample_collection_item,JSONB,First component description,Part of component 1 data
Component2,Component,Reference and Sample Collection Item,has_part,part_name_content,reference_and_sample_collection_item,JSONB,Second component name,Part of component 2 data
comp2_n,Component Dimension,Reference and Sample Collection Item,part_dimension,part_dimension_value_,reference_and_sample_collection_item,Numeric,Second component numeric value,Part of component 2 data
comp2_g,Component Dimension,Reference and Sample Collection Item,part_dimension,part_dimension_unit,reference_and_sample_collection_item,UUID,Second component unit,Part of component 2 data
comp2_p,Component,Reference and Sample Collection Item,has_part,part_name_content,reference_and_sample_collection_item,JSONB,Second component description,Part of component 2 data
Component3,Component Statement,Reference and Sample Collection Item,part_statement,part_statement_content,reference_and_sample_collection_item,JSONB,Third component description,Part of component 3 data
specific_place_uri,External URI for Place,Place,external_uri,external_uri,place,JSONB,Primary place URI,Used for place relationships
specific_place_uri_2,External URI for Place,Place,external_uri,external_uri,place,JSONB,Secondary place URI,Used for place relationships
specific_place,Name of Place,Place,statement,content,place,JSONB,Primary place name,Used in place statements
specific_place_2,Name of Place,Place,statement,content,place,JSONB,Secondary place name,Used in place statements
specific_geojson,Geospatial Definition of Place,Place,defined_by,defined_by,place,JSONB,Primary geospatial data,Used for geospatial points
