rsci_uuid,READY_common_name,READY_additional_names,READY_sample_type,READY_physical_form,READY_natural-synthetic,READY_origination_date_edtf_1,READY_origination_date_edtf_2,READY_origination_date_edtf_3,READY_expiration_date_statement,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note,facet_type_value_uuid,Acquired By,Acquired By (CLEAN_1),Acquired By (CLEAN_2),Acquired By (Institution_1),Acquired By (Institution_2),Acquired From,Acquired From (CLEAN_1),Acquired From (CLEAN_2),Acquired From (Institution_1a),Acquired From (Institution_1b),Acquired From (Institution_2a),Acquired From (NOTE),Acquisition Date,Acquisition Date__edtf,Acquisition Date__begin_of_the_begin,Acquisition Date__end_of_the_begin,Acquisition Date__begin_of_the_end,Acquisition Date__end_of_the_end,Additional Names,Additional Classification,gbif_uri,gbif_canonical_name,gbif_vernacular_name,Barcode No.,Barcode Prefix,Catalog No.,Certified Standard?,Chem Composition Confirmed,Chemical (CAS) No.,Chemical Formula,Chemical Name,Collection Name,Color,color_use,color_split 1,color_split 2,color_split 3,Color Index (CI) No.,Common Name,Component1,comp1_n,comp1_g,comp1_p,Component2,comp2_n,comp2_g,comp2_p,Component3,Compound Type,Contact Name,E-Mail,Experiments,Fire Safety,Formulation,Full Barcode,Geographic Origin,admin_1 (country),admin_1_geonames,admin_2,admin_2_geonames,specific_place,specific_place_uri,latitude,longitude,specific_geojson,specific_place_2,specific_place_uri_2,latitude_2,longitude_2,specific_geojson_2,geo_note,geo_check,geo_method,Grid Location,Health Safety,Manufacturer,Manufacturer (CLEAN),Manufacturer (NOTE),Mass or Volume,Mixture Pigment,Mixture Type,MSDS Sheet?,Natural/Synthetic,Notes,Old Barcode,Origination Date,origination_date_statement,origin_date_begin_of_begin,origin_date_end_of_begin,origin_date_begin_of_end,origin_date_end_of_end,Other Safety,Part of a Collection?,Phone No.,Physical Form,Preparation,Reactivity Safety,Sample Type,Typical Use,Warning Field
00068a07-2de1-4494-b82a-be757e5272dc,Bournonite,,"stone, natural",Raw / Natural Form,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,Art Kaplan,Art Kaplan,,,,Charles Schoettlin,Charles Schoettlin,,,,,,2011,2011,2011-01-01,2011-01-01,2011-12-31,2011-12-31,,,,,,21651.0,STNN,1164,,,,,,Schoettlin Mineral Collection,Multi-colored,Multi-colored,,,,,Bournonite,,,,,,,,,,Inorganic,Warren Schoettlin,WSchoettlin@yahoo.com,,,,STNN21651,State/Country: Peru; County: La Libertad Dept.; Town/Area: Santiago de Chuco Province; Mine/Site: Quiruvilca District,,,,,La Libertad,https://www.geonames.org/3695781,-8.0,-78.5,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                -76.90124323614664,
                -8.97088985198347
            ],
            [
                -76.90124323614664,
                -6.941452725096795
            ],
            [
                -79.69062111359634,
                -6.941452725096795
            ],
            [
                -79.69062111359634,
                -8.97088985198347
            ],
            [
                -76.90124323614664,
                -8.97088985198347
            ]
        ]
    ]
}",,,,,,,,Quick Geonames,"aisle 4, column 37, box 114",,,,,,,,Doesn't exist,Natural,,,,,,,,,,Yes,,Raw / Natural Form,Not applicable,,"Stone, natural",Other,
00077780-1e3e-4146-b26c-c4fb71b104f9,Venetian Red,,pigment,Slide,,1928,,,,,,,,,,,,,,,,inorganic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,E. W. Forbes Collection,E. W. Forbes Collection,,,,,,,,,,,,,,,,,10827.0,PIG,Forbes: 6.05.54,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,,Red,Red,,,,,Venetian Red,,,,,,,,,,Mixture,,,,,,PIG10827,"Rome, Italy",,,,,Rome,https://www.geonames.org/3169070,41.89193,12.51133,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                12.726343428495486,
                41.765760675629664
            ],
            [
                12.726343428495486,
                42.05054833023755
            ],
            [
                12.334658845099607,
                42.05054833023755
            ],
            [
                12.334658845099607,
                41.765760675629664
            ],
            [
                12.726343428495486,
                41.765760675629664
            ]
        ]
    ]
}",,,,,,,,,"aisle 10, column 31",,,,,,,Inorganic - inorganic,Doesn't exist,,"Pigment Box 4, #35; duplicate set in Analytical Lab",PIG0451,1928,,1928-01-01,1928-01-01,1928-12-31,1928-12-31,,,,Slide,,,Pigment,Colorant,
00082c13-ef23-46f2-944b-c237784204d6,Livingstonite,,"stone, natural",Raw / Natural Form,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,Art Kaplan,Art Kaplan,,,,Charles Schoettlin,Charles Schoettlin,,,,,,2011,2011,2011-01-01,2011-01-01,2011-12-31,2011-12-31,,,,,,21591.0,STNN,2296,,,,,,Schoettlin Mineral Collection,Multi-colored,Multi-colored,,,,,Livingstonite,,,,,,,,,,Inorganic,Warren Schoettlin,WSchoettlin@yahoo.com,,,,STNN21591,State/Country: Kirghizia; County: N/A; Town/Area: Khaidarkan; Mine/Site: N/A,,,,,Kirghizia,https://www.geonames.org/1527747,41.5,75.0,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                80.2281514,
                -16.600006842000003
            ],
            [
                80.2281514,
                43.266184800000005
            ],
            [
                11.789144711,
                43.266184800000005
            ],
            [
                11.789144711,
                -16.600006842000003
            ],
            [
                80.2281514,
                -16.600006842000003
            ]
        ]
    ]
}",,,,,,,,Quick Geonames,"aisle 4, column 38, box 10",,,,,,,,Doesn't exist,Natural,,,,,,,,,,Yes,,Raw / Natural Form,Not applicable,,"Stone, natural",Other,
000ff811-8e63-4226-ac6a-250fa796a206,Wax + Lead White,,prepared mixture,Paint-out Plate,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,9afb2d50-f493-4b28-81de-7f282bb8ec60,base mixture with colorant,,,,Measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,1993,1993,1993-01-01,1993-01-01,1993-12-31,1993-12-31,,,,,,16511.0,MIX,WAX6L6,,,,,,,White,White,,,,,Wax / Lead white,7.611 g natural beeswax,7.611,g,natural beeswax,,,,,,Mixture,,,heated in oven (80 C),,,MIX16511,,,,,,,,,,,,,,,,,revisit,Low confidence Geonames,"aisle 10, column 38",3.0,,,,,3.992 g lead white,,Doesn't exist,,,MIX0808,1993,,1993-01-01,1993-01-01,1993-12-31,1993-12-31,,,,Paint-out Plate,Recipe,,Prepared mixture,,0.0
0010ff52-4ca5-45e1-b144-815fa8054bcd,Cobalt Blue,,"paint, gouache","Opaque, Paste",,,,,,23.0,,,Milliliter,Volume,,,,,,,,organic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,1990-1991,1990/1991,1990-01-01,1990-01-01,1991-12-31,1991-12-31,,,,,,12104.0,PNTG,511 Series 3,,,,,,,Blue,Blue,,,,,Cobalt Blue,,,,,,,,,,Mixture,,,,,,PNTG12104,"Apeldoorn, Holland",,,,,Apeldoorn,https://www.geonames.org/2759706,52.21,5.96944,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                6.047537697690537,
                52.162198101191905
            ],
            [
                6.047537697690537,
                52.2578018988081
            ],
            [
                5.891350302309464,
                52.2578018988081
            ],
            [
                5.891350302309464,
                52.162198101191905
            ],
            [
                6.047537697690537,
                52.162198101191905
            ]
        ]
    ]
}",,,,,,,,,7-F-8,,Talens,Royal Talens,,23 ml,,Organic - inorganic,No,,,PNTG0155,,,,,,,,,,"Opaque, Paste",Commercial,,"Paint, gouache",Colorant,
0023af95-edcd-4481-a404-14f4ec704a7b,Mastic + Yellow Ochre,,prepared mixture,Paint-out Plate,,1993,,,,,,,,,,,,,,,,organic - inorganic mixture,,,,,,,,,,74523a67-f70e-4e3d-b35f-8fa5b28051d5,base mixture with colorant,,,,Measurement not listed in FileMaker Pro database,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,1993,1993,1993-01-01,1993-01-01,1993-12-31,1993-12-31,,,,,,16469.0,MIX,MR5Y5,,,,,,,Yellow,Yellow,,,,,Mastic / Yellow Ochre,0.66 g mastic resin,0.66,g,mastic resin,,,,,,Mixture,,,aged in Weather-o-meter,,,MIX16469,"London, England",,,,,London,https://www.geonames.org/2643743,51.50853,-0.12574,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                0.2811882683122086,
                51.297523767519486
            ],
            [
                0.2811882683122086,
                51.68293389615384
            ],
            [
                -0.4991631942360928,
                51.68293389615384
            ],
            [
                -0.4991631942360928,
                51.297523767519486
            ],
            [
                0.2811882683122086,
                51.297523767519486
            ]
        ]
    ]
}",,,,,,,,,"aisle 10, column 38",,A.F. Suter & Co.,A.F. Suter & Co.,,,5.43 g yellow ochre,Organic - inorganic,Doesn't exist,,,MIX0793,1993,,1993-01-01,1993-01-01,1993-12-31,1993-12-31,,,,Paint-out Plate,Recipe,,Prepared mixture,,
0024880b-dd10-4d64-806c-b89a07c43a93,Flint glass,,glass,Slide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,,,,,,,,,,,,13698.0,GLAS,M-2a 25,,,,,,,,,,,,,Flint glass,,,,,,,,,,Inorganic,,,,,,GLAS13698,"Cedar Grove, NJ, USA",United States,https://www.geonames.org/6252001,New Jersey,https://www.geonames.org/5101760,Cedar Grove,https://www.geonames.org/5096371,40.85177,-74.22903,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                -74.21023122076089,
                40.83754599273446
            ],
            [
                -74.21023122076089,
                40.86598640726554
            ],
            [
                -74.2478387792391,
                40.86598640726554
            ],
            [
                -74.2478387792391,
                40.83754599273446
            ],
            [
                -74.21023122076089,
                40.83754599273446
            ]
        ]
    ]
}",,,,,,,,,"Anal. Chem Lab - L2, room 422",,R.P. Cargille Laboratories,R.P. Cargille Laboratories,,,,,No,,"Cargille Reference Set No. M-2a, ""Elementary Materials""; dispersed in Canada balsam",,,,,,,,,,,Slide,,,Glass,,
0037571d-028b-4fce-9d5c-dcd345aef5ac,Suranji,,dye,Solution,natural,1980~,,,,,,,Milliliter,Volume,appx. 1 mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,ca. 1985,1985?,1983-01-01,1985-01-01,1985-12-31,1987-12-31,"Morinda citrifolia L., Cortex radicis; Natural Red 18",,,,,16941.0,DYE,Schweppe # 26,,,,,,,Orange,Orange,,,,,Suranji,,,,,,,,,,Organic,,,,,,DYE16941,Germany,Germany,https://www.geonames.org/2921044,,,Germany,https://www.geonames.org/2921044,51.5,10.5,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                15.0418156516163,
                47.2701236047002
            ],
            [
                15.0418156516163,
                55.0583836008072
            ],
            [
                5.8663152683722,
                55.0583836008072
            ],
            [
                5.8663152683722,
                47.2701236047002
            ],
            [
                15.0418156516163,
                47.2701236047002
            ]
        ]
    ]
}",,,,,,,,,"Anal. Chem Lab - L2, room 422",,prepared by H. Schweppe,H. Schweppe,prepared by H. Schweppe,appx. 1 ml,,,No,Natural,"Preparation: water extract of raw material hydrolyzed, product then dissolved in methanol; Schweppe Natural Dye TLC Reference Collection",,ca. 1980,,1978-01-01,1980-01-01,1980-12-31,1982-12-31,,,,Solution,,,Dye,Colorant,
003d14d2-2276-4997-936e-f8cf863ff75b,"Sesame Oil, cold-processed",,oil,,natural,1975,,,,16.0,,,Fluid Ounce (US),Volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,"U.S.Customs Lab, Long Beach","U.S. Customs Lab, Long Beach",,,,,,,,,,,,from Sesamum indicum,,,,,15037.0,OIL,Customs Number:  0040,,,8008-74-0,,"mostly glycerides of linoleic, oleic, palmetic and stearic acids",,,,,,,,"Sesame Oil, cold-processed",,,,,,,,,,Organic,,,,1.0,,OIL15037,,,,,,,,,,,,,,,,,revisit,Low confidence Geonames,10-F-6,0.0,Norganic,Norganic,,16 Fl.  Oz.,,,No,Natural,,OIL0195,1975,,1975-01-01,1975-01-01,1975-12-31,1975-12-31,,,,,Commercial,0.0,Oil,Vehicle / Solvent,
003fd275-b4f8-4e2a-a848-6d28d09f76d8,Ghatti Gum,,gum,Paint-out Plate,natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f697d7f2-4956-4b14-8910-c7ca673e74ca,,,,,,,,,,,,,1984,1984,1984-01-01,1984-01-01,1984-12-31,1984-12-31,,,,,,16290.0,GUM,,,,,,,,,,,,,,Ghatti Gum,,,,,,,,,,Organic,,,,,,GUM16290,"London, England",,,,,London,https://www.geonames.org/2643743,51.50853,-0.12574,"{
    ""type"": ""Polygon"",
    ""coordinates"": [
        [
            [
                0.2811882683122086,
                51.297523767519486
            ],
            [
                0.2811882683122086,
                51.68293389615384
            ],
            [
                -0.4991631942360928,
                51.68293389615384
            ],
            [
                -0.4991631942360928,
                51.297523767519486
            ],
            [
                0.2811882683122086,
                51.297523767519486
            ]
        ]
    ]
}",,,,,,,,,"aisle 10, column 38",,A.F. Suter & Co.,A.F. Suter & Co.,,,,,No,Natural,,GUM0027,,,,,,,,,,Paint-out Plate,,,Gum,Binding Medium,
