resourceinstanceid,graphid,graphpublicationid,principaluser_id,prov_act_name_tileid,prov_act_name_content,prov_act_name_type,prov_act_name_language,prov_act_name_nodegroupid,prov_act_name_tile_data,acquisition_tileid,acquisition__label,acquisition_nodegroupid,acquisition_carried_out_by_related_objs,acquisition_transferred_title_from_related_objs,acquisition_transferred_title_of_related_objs,acquisition_timespan_tileid,acquisition_timespan_begin_of_the_begin,acquisition_timespan_end_of_the_begin,acquisition_timespan_begin_of_the_end,acquisition_timespan_end_of_the_end,acquisition_timespan_nodegroupid
f83740d0-55a6-4d70-8e54-a706b7709b1e,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,a88c4b88-aa59-44c1-b4da-4200232413b5,"{""en"": {""value"": ""Acquisition of Barcode 1"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 1"", ""direction"": ""ltr""}}}",8b1ba2d9-6ced-41c1-85bf-b23dcb0dc3fe,"{""en"": {""value"": ""Acquisition of Barcode 1"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""51cdad12-cc35-4b73-a6e6-95fb68d9c136"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""739f0ecc-e23a-4b4d-b4fb-f6cbd5de956b"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""7b4056f2-d82b-4f34-9b36-c0e0ab420bff"", ""ontologyProperty"": """", ""resourceXresourceId"": ""277ab063-3d87-469c-a922-6511180b6e1a"", ""inverseOntologyProperty"": """"}]",fdb8118f-cda7-4b3a-83ff-f4a2ed21a578,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
a74caff6-e1de-4337-84ad-2ff5bcf162ac,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,9f40e811-c8dc-4801-bc2c-b60a3f6c5cda,"{""en"": {""value"": ""Acquisition of Barcode 2"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 2"", ""direction"": ""ltr""}}}",20f75c12-9112-4d77-8527-2176762fdd63,"{""en"": {""value"": ""Acquisition of Barcode 2"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""233d7618-4a00-4350-a46e-65b569a19c5e"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""bb197639-4e4e-4e6a-a265-15dd6d8c4bc1"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""c652dc8a-35d0-4004-85c6-d5a0491f46fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7d5a6378-f913-41d8-b9f5-cbd2fda5a128"", ""inverseOntologyProperty"": """"}]",25606b17-0037-49f4-a581-46551ec4dbc4,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
a647ac2e-e701-457f-b9d8-dca122cfcc5e,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,80ffd05a-aa06-4474-a228-63fd088c508a,"{""en"": {""value"": ""Acquisition of Barcode 3"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 3"", ""direction"": ""ltr""}}}",9a44bfa6-1272-43e3-8926-db9c8d31c2ab,"{""en"": {""value"": ""Acquisition of Barcode 3"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e3138bef-590b-40d7-9bca-601ec6cb3ccb"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""1f62769e-ce9c-49df-940f-33f76cd452bc"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""6b999fe8-f429-4f08-83dc-1c22ec7da40f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""96df315a-8eb9-4507-96fe-031062d81143"", ""inverseOntologyProperty"": """"}]",b757339b-2f25-4b85-8092-26b5a9a8c850,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
2b4ae24c-1c39-49d1-ba5d-ffe87f7c7dd5,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,f6a5f44f-67f7-4692-b0cd-70ca8880849f,"{""en"": {""value"": ""Acquisition of Barcode 4"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 4"", ""direction"": ""ltr""}}}",55db159b-0af2-4430-ab8c-b3c15501e96b,"{""en"": {""value"": ""Acquisition of Barcode 4"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""a3154ec0-6bff-4c94-8ae7-4d10d66e475b"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""edd7efff-adcf-4da4-b4ef-863a35788409"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""7c509df8-3a2c-4f19-ab07-5934252f1b19"", ""ontologyProperty"": """", ""resourceXresourceId"": ""88cc7353-1307-44f3-b38e-5faacc02a1ff"", ""inverseOntologyProperty"": """"}]",1dd63857-fb07-4f86-b041-4403924ae791,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
4e634649-3e68-445a-9b69-eb4d2d40eacb,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,51b78c2e-0572-4601-a6f4-c7ed5b018e95,"{""en"": {""value"": ""Acquisition of Barcode 5"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 5"", ""direction"": ""ltr""}}}",44357948-738d-41ba-b5d6-f5b0f8ddbf84,"{""en"": {""value"": ""Acquisition of Barcode 5"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""8308ffcf-c79b-45e5-a192-3725a60e0d86"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""86fa26bf-1fe0-48fc-a27a-1d3e8b1bf7af"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""f5530d89-9bcc-421f-a905-340af3e4d4d9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1131a5fc-4c7a-4310-9a92-b3ef2c5bc58f"", ""inverseOntologyProperty"": """"}]",8e8384e1-5f60-4f83-84d8-66131055d7b3,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
04d3443d-2bfc-4b3d-af9a-8224747717ba,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,cb897839-31db-4728-962e-49dd77b0d913,"{""en"": {""value"": ""Acquisition of Barcode 6"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 6"", ""direction"": ""ltr""}}}",f46c830d-eb80-4b52-83d9-483f81c020af,"{""en"": {""value"": ""Acquisition of Barcode 6"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""4e6a9de3-7bf9-4fca-b4db-43fe2b1eb083"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""7040ca40-6424-41df-aa6f-bd3aa4be9402"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""fdf868bf-33cb-4866-b49a-0f1e6dd41153"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9c9d0d57-3bc4-4a5c-81a9-65240f43fb3e"", ""inverseOntologyProperty"": """"}]",8ccf714b-7c39-4fa4-9f5a-b6173d4f619a,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
8b36e135-96ef-4c95-b149-85910c673d53,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,89bef56d-d6f8-4cdb-a4b7-fc089584a9eb,"{""en"": {""value"": ""Acquisition of Barcode 7"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 7"", ""direction"": ""ltr""}}}",6c1bf64d-758d-442e-98cf-a93d0a3209ed,"{""en"": {""value"": ""Acquisition of Barcode 7"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""bd10d48f-b4c8-4e95-86a8-ddbf05fddd57"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""51a71d5b-de4e-4a53-b38c-ba1876c50ce7"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""624aea12-09c0-48a7-a04b-7222e38cb393"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a415df24-518a-41c7-8d5a-80d7fd2a059b"", ""inverseOntologyProperty"": """"}]",a8e8f09b-7fe1-4bd4-928a-e810cdccb4fc,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
cf0ae2e0-390f-4d70-a17d-66b55697ed11,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,73e32ee2-469a-47b3-aa15-96f61ab8c2cf,"{""en"": {""value"": ""Acquisition of Barcode 8"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 8"", ""direction"": ""ltr""}}}",f698017a-ec8e-475e-8fba-f820f2b73f89,"{""en"": {""value"": ""Acquisition of Barcode 8"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""9e478600-dd49-4d07-8a00-15df87806eca"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""4e03e2da-34d7-4416-a5ad-39af5099e648"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""b7818cbb-6006-4ccc-a799-ee8e5612369b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a88d9d0d-524d-4cc2-ad39-fcb9ebba9a4d"", ""inverseOntologyProperty"": """"}]",d2b92b88-2617-42aa-a0df-d6422af035e8,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
d96148d7-7dcc-4c46-b338-b4f90d07ad86,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,29edd2b1-eaac-475f-8ebe-5a0fb1f81318,"{""en"": {""value"": ""Acquisition of Barcode 9"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 9"", ""direction"": ""ltr""}}}",8d7caac7-7c89-4553-8f7a-51a4af789ab3,"{""en"": {""value"": ""Acquisition of Barcode 9"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""398d5c4b-c72d-411d-bf86-a1db61a95d5b"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""fc17eb5d-7b95-4b90-86c1-ec789ba046b7"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""b8759279-f6a2-4969-9d62-47628a505f7b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2a278290-ff60-4455-8334-7c5c1bb091a4"", ""inverseOntologyProperty"": """"}]",09dccc64-efc5-4bf4-ae7a-09dee0c4335b,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
af8527a4-3bc9-4f37-a8d2-3bf9c44eb592,26a55ac6-d772-11ef-825b-0275dc2ded29,3fd6e10e-d8c6-11ef-9ef7-0275dc2ded29,1,fe3bfdb1-4345-43c8-8628-85fbdddd769f,"{""en"": {""value"": ""Acquisition of Barcode 0"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",26a5c4f2-d772-11ef-825b-0275dc2ded29,"{""26a63fd6-d772-11ef-825b-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""26a640bc-d772-11ef-825b-0275dc2ded29"": null, ""26a621fe-d772-11ef-825b-0275dc2ded29"": null, ""26a61042-d772-11ef-825b-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""26a6331a-d772-11ef-825b-0275dc2ded29"": {""en"": {""value"": ""Acquisition of Barcode 0"", ""direction"": ""ltr""}}}",c2a0e5d0-6e11-4775-ade3-def5c8c09732,"{""en"": {""value"": ""Acquisition of Barcode 0"", ""direction"": ""ltr""}}",26a58b04-d772-11ef-825b-0275dc2ded29,"[{""resourceId"": ""f7620677-1d0e-4558-ae1e-790012525971"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""23a6a0e3-59f3-4c9d-8db8-9b2907aaf145"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""ba6ddc23-dd24-4162-a5a2-32afda5654f0"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""7b7fc3bd-c20b-4a8f-903f-fd366d54b5da"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]","[{""resourceId"": ""60ee2f5a-003b-4968-948a-886312787148"", ""ontologyProperty"": """", ""resourceXresourceId"": ""147e7285-196b-4300-8102-dbe541a6a86a"", ""inverseOntologyProperty"": """"}]",c9b1a260-6a61-4c12-88cc-111771e53102,1986-01-01,1986-01-01,1986-12-31,1986-12-31,26a57510-d772-11ef-825b-0275dc2ded29
