resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,common_name_nodegroupid,common_name_tile_data,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,barcode_no_nodegroupid,barcode_no_tile_data,tileid,facet_type,facet_type_metatype,nodegroupid,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_,additional_names_nodegroupid
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,57b142cf-2f4e-4853-a0b3-16ecb490dbdf,"{""en"": {""value"": ""Pine, Shortleaf"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Pine, Shortleaf"", ""direction"": ""ltr""}}}",5ba84608-4979-4113-9147-8a3e5e505948,"{""en"": {""value"": ""10001"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10001"", ""direction"": ""ltr""}}}",f9e8b679-ba54-4bd6-84bf-124b3606a5bd,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
c652dc8a-35d0-4004-85c6-d5a0491f46fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e2142e58-bc27-4348-8caa-a8597de08e1f,"{""en"": {""value"": ""Pine, Slash"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Pine, Slash"", ""direction"": ""ltr""}}}",b8a03a98-b3fa-4145-82da-6d0a97228b41,"{""en"": {""value"": ""10002"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10002"", ""direction"": ""ltr""}}}",aaa3c154-8cdc-45c4-9943-49434294a730,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
6b999fe8-f429-4f08-83dc-1c22ec7da40f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e6997caa-070e-4adc-b722-f3290de2319d,"{""en"": {""value"": ""Pine, Longleaf"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Pine, Longleaf"", ""direction"": ""ltr""}}}",59c1a1c4-f7ed-4a04-b4f8-4d47cb66cb00,"{""en"": {""value"": ""10003"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10003"", ""direction"": ""ltr""}}}",8254fc3d-7cc3-4b09-b10c-544d08f1d4ec,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
7c509df8-3a2c-4f19-ab07-5934252f1b19,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,643021e8-2ffb-40c7-8b89-53c0675c538d,"{""en"": {""value"": ""Bald Cypress"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Bald Cypress"", ""direction"": ""ltr""}}}",b6a8533c-7341-491d-9509-09a743959596,"{""en"": {""value"": ""10004"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10004"", ""direction"": ""ltr""}}}",72d30a76-056f-4f34-8947-b46617427bc9,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
f5530d89-9bcc-421f-a905-340af3e4d4d9,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e8bd422e-fcce-4b67-a263-7d959661ad19,"{""en"": {""value"": ""Cottonwood, Eastern"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Cottonwood, Eastern"", ""direction"": ""ltr""}}}",78ae2a33-3739-44fc-9da2-7ab5cd1a0442,"{""en"": {""value"": ""10005"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10005"", ""direction"": ""ltr""}}}",995a5b98-b492-4687-ba46-5fe2de8c0ab7,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
fdf868bf-33cb-4866-b49a-0f1e6dd41153,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,250e9dc6-57f8-449e-ab3b-e363e35c9920,"{""en"": {""value"": ""Cottonwood"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Cottonwood"", ""direction"": ""ltr""}}}",5ded2e4e-151b-45b3-b77a-a9d6b359f66c,"{""en"": {""value"": ""10006"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10006"", ""direction"": ""ltr""}}}",90092344-ebeb-464d-9082-0b554e5e10d4,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
624aea12-09c0-48a7-a04b-7222e38cb393,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,97fc34d8-c522-4935-afd6-61bd30888c4f,"{""en"": {""value"": ""Willow, Black"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Willow, Black"", ""direction"": ""ltr""}}}",53d6ffda-a656-460a-a84d-b95c8acd62b8,"{""en"": {""value"": ""10007"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10007"", ""direction"": ""ltr""}}}",0adfb14d-927b-45b1-aeed-f8ed4b1bce14,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
b7818cbb-6006-4ccc-a799-ee8e5612369b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,dbc1898f-1731-4efb-ab03-761c2f24ae1b,"{""en"": {""value"": ""Beech, California"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Beech, California"", ""direction"": ""ltr""}}}",36cd4591-6864-4318-ae0e-18e9065b4ca6,"{""en"": {""value"": ""10008"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10008"", ""direction"": ""ltr""}}}",bfeb4c4d-cf2e-4273-b04a-b5c2847dc5eb,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
b8759279-f6a2-4969-9d62-47628a505f7b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,ec381595-1512-4684-be5f-1a5e2ca6fc27,"{""en"": {""value"": ""Pecan"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Pecan"", ""direction"": ""ltr""}}}",d8df3af5-1749-4c25-a123-05e35a82d5a5,"{""en"": {""value"": ""10009"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10009"", ""direction"": ""ltr""}}}",73b4fdc2-91c1-4e95-a0af-3f96080b4833,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
60ee2f5a-003b-4968-948a-886312787148,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,dae216a2-cfe3-4cc0-9097-02c3575a3ebc,"{""en"": {""value"": ""Oak, White"", ""direction"": ""ltr""}}","[""8f40c740-3c02-4839-b1a4-f1460823a9fe""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,"{""bda5ce4c-d376-11ef-a239-0275dc2ded29"": [""8f40c740-3c02-4839-b1a4-f1460823a9fe""], ""bda511e6-d376-11ef-a239-0275dc2ded29"": null, ""bda5852c-d376-11ef-a239-0275dc2ded29"": null, ""bda5e77e-d376-11ef-a239-0275dc2ded29"": [""bc35776b-996f-4fc1-bd25-9f6432c1f349""], ""bda5cf14-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""Oak, White"", ""direction"": ""ltr""}}}",13e61846-1a6c-4c7b-8e34-e23f38649625,"{""en"": {""value"": ""10010"", ""direction"": ""ltr""}}","[""ae7f2811-3fee-4624-bc74-9451bd05be2d""]",bda3962c-d376-11ef-a239-0275dc2ded29,"{""bda54b02-d376-11ef-a239-0275dc2ded29"": [""ae7f2811-3fee-4624-bc74-9451bd05be2d""], ""bda559a8-d376-11ef-a239-0275dc2ded29"": null, ""bda57dc0-d376-11ef-a239-0275dc2ded29"": null, ""9e729fcc-d714-11ef-8c40-0275dc2ded29"": null, ""bda5c60e-d376-11ef-a239-0275dc2ded29"": {""en"": {""value"": ""10010"", ""direction"": ""ltr""}}}",2430e461-59db-4067-b378-0f0f4866b140,f697d7f2-4956-4b14-8910-c7ca673e74ca,b8a24689-9ee3-4639-bc5b-a0e70e31f71f,e9b8d73c-09b7-11f0-b84f-0275dc2ded29,,"""""","""""","""""",
