resourceinstanceid,graphid,graphpublicationid,principaluser_id,old_barcode_no_tileid,old_barcode_no_identifier_content,old_barcode_no_identifier_type,cat_id_tileid,cat_id_identifier_content,cat_id_identifier_type,chem_name_tileid,chem_name_name_content,chem_name_name_type_,chem_name_name_language_,chem_no_tileid,chem_no_chemical_material_identifier_content,chem_no_chemical_material_name_content,chem_no_chemical_material_identifier_type,standard_type_tileid,standard_type_standard_type
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fb44c017-ba26-45ce-a97f-024abf92f5a4,"{""en"": {""value"": ""TIM0001"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",d389bcfa-3828-47c9-8c12-0b46fac9c5c5,"{""en"": {""value"": ""0001"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
c652dc8a-35d0-4004-85c6-d5a0491f46fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,52c24e16-f2bd-4fa1-91c4-168eaf4218f1,"{""en"": {""value"": ""TIM0002"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",f050de4a-3bc4-42ce-b3de-e9e95ebf642e,"{""en"": {""value"": ""0002"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
6b999fe8-f429-4f08-83dc-1c22ec7da40f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,967881d0-e87c-43f1-b4bb-f7656850e928,"{""en"": {""value"": ""TIM0003"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",09d42758-8164-4179-8a77-77a5a631c0c5,"{""en"": {""value"": ""0003"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
7c509df8-3a2c-4f19-ab07-5934252f1b19,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,47796b04-e781-4847-b20f-ec88db80e9ea,"{""en"": {""value"": ""TIM0004"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",43cf3fb9-b686-4b20-9114-3554717bba99,"{""en"": {""value"": ""0004"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
f5530d89-9bcc-421f-a905-340af3e4d4d9,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2c5980dc-eee7-4b12-a707-405f4557bf38,"{""en"": {""value"": ""TIM0005"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",864f3c93-53b6-4366-a208-cfc26919fed9,"{""en"": {""value"": ""0005"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
fdf868bf-33cb-4866-b49a-0f1e6dd41153,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c569fc32-ac04-4082-bb2a-ad9fdef36bba,"{""en"": {""value"": ""TIM0005A"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",2e7a9b0d-339e-4d41-a346-9a27f81f37de,"{""en"": {""value"": ""0005A"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
624aea12-09c0-48a7-a04b-7222e38cb393,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2d552531-eea1-486b-a87c-65992d11a727,"{""en"": {""value"": ""TIM0006"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",ed8a7a25-0c95-4588-bd34-9110cc0a2ff0,"{""en"": {""value"": ""0006"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
b7818cbb-6006-4ccc-a799-ee8e5612369b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,b5062db8-abf7-46ff-8920-9bcf2980a919,"{""en"": {""value"": ""TIM0007"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",d83c9005-24cd-4d9a-b597-ef17d68a3ed7,"{""en"": {""value"": ""0007"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
b8759279-f6a2-4969-9d62-47628a505f7b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,384d903d-f9fa-4250-ab25-ff4b3b3a4052,"{""en"": {""value"": ""TIM0008"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",0f78e63c-cecc-4e82-a0be-f0dff1315116,"{""en"": {""value"": ""0008"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
60ee2f5a-003b-4968-948a-886312787148,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2199e593-4bf7-4664-9b70-1cc45752c57c,"{""en"": {""value"": ""TIM0009"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""f3c28779-7993-43b5-b5eb-5284919c2cf2"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",e858e8a1-88d5-4e20-87d5-b78043eb3fa2,"{""en"": {""value"": ""0009"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""7c7d6adb-3033-4318-89b3-2705f4153a17"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",,,,,,,,,,
