resourceinstanceid,graphid,graphpublicationid,principaluser_id,comp1_statement_tileid,comp1_statement_part_statement_content,comp1_statement_part_statement_type,comp1_statement_part_statement_language,comp1_statement_nodegroupid,comp2_statement_tileid,comp2_statement_part_statement_content,comp2_statement_part_statement_type,comp2_statement_part_statement_language,comp2_statement_nodegroupid,comp1_tileid,comp1_part_name_content,comp1_part_name_type,comp1_part_name_language,comp1_nodegroupid,comp1_part_type,comp1_n_tileid,comp1_n_part_dimension_value_,comp1_n_part_dimension_type_,comp1_n_part_dimension_unit,comp1_n_nodegroupid,comp2_tileid,comp2_part_name_content,comp2_part_name_type,comp2_part_name_language,comp2_nodegroupid,comp2_part_type,comp2_n_tileid,comp2_n_part_dimension_value_,comp2_n_part_dimension_type_,comp2_n_part_dimension_unit,comp2_n_nodegroupid,comp3_tileid,comp3_part_type,comp3_nodegroupid,comp3_statement_tileid,comp3_statement_part_statement_content,comp3_statement_part_statement_type,comp3_statement_part_statement_language,comp3_statement_nodegroupid
3b0442e9-661d-493e-bf1d-be06e8d07d42,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2a9346fb-e808-4498-bafb-eab04cddb201,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,1eed3fb2-7235-4ba1-a0e8-7fdfe0cf8a4f,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,,"""""","""""","""""",,,,,,,,,"""""","""""","""""",,,,,,,,,,,,"""""","""""","""""",
b0917f1a-36ec-44ea-afad-dbbf7d5447a5,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,af92b6fc-99e0-4b09-be4a-9e85de672cf6,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,42c8ebc6-c60b-44bb-b1ca-e98a79552efb,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,,"""""","""""","""""",,,,,,,,,"""""","""""","""""",,,,,,,,,,,,"""""","""""","""""",
d61e2d21-b830-4e49-b0b8-6a9b4638d2c7,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a71b7b8f-5dd4-4a05-8737-c0526bb9107c,"{""en"": {""value"": ""Rabbit skin glue"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,a0dcb7be-1dbc-432d-98b9-6c7d011ea60e,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,,"""""","""""","""""",,,,,,,,,"""""","""""","""""",,,,,,,,,,,,"""""","""""","""""",
b03bd02d-841e-4d02-96ed-0bece3d04a4f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,b45f3a4b-d423-4842-81d0-c1e72a35e879,"{""en"": {""value"": ""Gum arabic"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,01efc333-2aa8-4ada-b1bb-dc54989b70d1,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,,"""""","""""","""""",,,,,,,,,"""""","""""","""""",,,,,,,,,,,,"""""","""""","""""",
56d6046a-2466-47f6-8332-0c919a6b686c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,1a5c418d-c64a-4a63-95ca-7be406305777,"{""en"": {""value"": ""Gum arabic"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,77b9ee45-0613-433f-8a14-b58d4b96bd59,"{""en"": {""value"": ""water?"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,,"""""","""""","""""",,,,,,,,,"""""","""""","""""",,,,,,,,,,,,"""""","""""","""""",
53ff805c-c13f-4f84-9110-708a0a3b429d,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,4b42debe-4714-4473-bb49-1a61bc68f3bf,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,86354f03-064d-4d8f-9f28-6507fd6bad87,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,3c1cfc2c-5ce3-4c48-9a9d-ffc5baac0b25,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,092f8380-caac-405d-9158-802ed0efd31a,0.04,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,d0036835-ec4f-47f1-9119-984c94b78f64,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,51453ac4-2cfb-4c30-92e1-3918ab39fc91,39.96,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,,,,,"""""","""""","""""",
10f25076-5449-4540-b33f-4135228b5566,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,cd975a79-cf3a-404b-b705-89f701c30031,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,98ae198e-dce2-494e-85df-da4c8df5d12b,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,4bc89f96-b1a2-4d2b-a11b-6577cfea2b69,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,c57dd7fe-8507-4fcf-a2d7-df0bd57d4b47,0.04,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,8137fe51-1f05-45b0-8fba-ce42622545a1,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,15470914-af14-4afb-91cd-d3be1a6bb89b,39.96,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,,,,,"""""","""""","""""",
46276f2a-b70b-496c-8577-a01e00b09d7c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9db0ebaf-d4e8-4ece-a73d-defd42dc1542,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,492a7490-a315-45bc-8962-650fa3e94088,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,e4850b92-1e4c-4996-a1f6-436e6005debe,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,047b3334-0bed-43b9-a002-618ee4f9a608,0.04,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,1a2d3f73-db15-420c-afe4-3d3fd4b90361,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,6b6cba15-897c-4ec5-a4dd-98ec2b36d316,39.96,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,,,,,"""""","""""","""""",
c854d91d-3504-4e48-b61b-bbec668e00a8,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,733227ec-a7ac-425d-bd93-c154ac0aebf3,"{""en"": {""value"": ""0.040 g linseed oil"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,a899715b-25f1-4900-a30f-87f5ad4c1275,"{""en"": {""value"": ""39.960 g dammar resin"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,82e86f36-93fe-4a15-810e-fb6145d43fc5,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,1e6e6190-1536-48c8-8025-06c42ac28c73,0.04,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,7d061cdc-4ad7-43f9-b8b8-bac13dfa91ab,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,4b084b29-1320-4ea2-b228-58caf858ebf0,39.96,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,,,,,"""""","""""","""""",
ac1313c0-f721-4a3e-a6ff-b46befca7e06,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e52c6a16-1f5d-42ba-a582-af9163a83611,"{""en"": {""value"": ""0.071 g linseed oil"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,78053b82-6830-4e76-bd0f-973bbce0f5cb,"{""en"": {""value"": ""34.930 g dammar resin"", ""direction"": ""ltr""}}","[""72202a9f-1551-4cbc-9c7a-73c02321f3ea""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83f62-08e4-11f0-81c1-0275dc2ded29,bf067b51-d9de-4f6f-a672-b086e8db602f,"{""en"": {""value"": ""linseed oil"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,895c27e2-7bcf-4903-83ec-4562e4ed4575,0.071,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,ae239348-378b-4070-94bc-82aced0edd05,"{""en"": {""value"": ""dammar resin"", ""direction"": ""ltr""}}","[""45f1707d-574e-4fd7-b78a-062472dbe718""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",6ee83c9c-08e4-11f0-81c1-0275dc2ded29,52a5d486-7cb2-4369-b0b1-2fec4f5ffdbf,ebc319a6-68f8-4261-ac43-6e56aba732d1,34.93,f729dd3e-c92c-4ebc-95d1-7e765c5606eb,01bba78f-94ab-4d6f-9a53-e76575b85531,6ee8420a-08e4-11f0-81c1-0275dc2ded29,,,,,"""""","""""","""""",
