resourceinstanceid,graphid,graphpublicationid,principaluser_id,cur_loc_tileid,cur_loc_current_location,cur_loc_statement_tileid,cur_loc_statement_current_location_statement_content,cur_loc_statement_current_location_statement_type,cur_loc_statement_current_location_statement_language
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3bba4bd0-68e9-4233-9b3e-afcb61f9fd0d,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""3bccc8a3-3d50-41e3-89c3-cbe10292cced"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",6f998a0b-61b2-4ba7-8166-bb84bfef292c,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
c652dc8a-35d0-4004-85c6-d5a0491f46fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c5d0b7e3-6d99-44f7-a2fa-9ed61be68f38,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""6b33fdcb-8862-4787-946d-2cfd5ece1b87"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",c2492785-c504-4c4d-8457-367172cc6a18,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
6b999fe8-f429-4f08-83dc-1c22ec7da40f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c0760d6b-4fda-41f6-ae52-de648dc2fe56,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""9c87759e-4077-4cd8-b9b7-7839fb6ba862"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",a2791198-3497-4b40-8ac6-9fef17f137e0,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
7c509df8-3a2c-4f19-ab07-5934252f1b19,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,61015c7a-3cde-41fb-843e-f1b8afe0be1e,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e77462a3-2ed4-42ee-9690-4566f7fbee89"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",62d848d0-7ca8-4af7-99d1-34e0d13bb521,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
f5530d89-9bcc-421f-a905-340af3e4d4d9,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,19751504-1e22-4391-b63c-ace260255e0a,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""6ca4e4dc-7692-4874-8714-43bc1f22252f"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",a044f4c8-20a0-45f3-a76b-ea72c22cc3da,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
fdf868bf-33cb-4866-b49a-0f1e6dd41153,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,7e3bd25b-2d20-43a5-a0ec-71e02e55e55c,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""817e9cf8-8e9f-421f-841c-50dbc6991592"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",90ba974a-7e9d-4c82-bd0c-531ca0087419,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
624aea12-09c0-48a7-a04b-7222e38cb393,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,4be748fd-16f7-4866-b750-c939b1f0c0c6,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""45a89aba-4387-4c0c-bffa-01f434c46d55"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",fa5aa3c8-91fa-442b-a346-4773cfccbcac,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
b7818cbb-6006-4ccc-a799-ee8e5612369b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,59aa8bf9-b54b-488e-881e-67e096e4f0a1,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""073d0feb-a4b0-40ea-b3ad-e99378601374"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",c888519b-71e2-4d79-bfd1-1c6aa7caa0c4,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
b8759279-f6a2-4969-9d62-47628a505f7b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,bea2fc2c-591c-4b3f-b4e4-cbb6ac548f9c,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""9200bcc5-a183-486e-b895-8b661a7e7f81"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",4316d96f-f8fb-43b4-aceb-6a0070851239,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
60ee2f5a-003b-4968-948a-886312787148,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,05e7406f-7dcb-4ba6-bef2-875387a227e3,"[{""resourceId"": ""52c75bc1-7797-4ef8-b829-7ce771e4968a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""f016a56d-e1b6-49fb-99bc-538021426ef5"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",a4929822-156d-4847-abca-b51dde93b81b,"{""en"": {""value"": ""Grid Location: 8-A-1"", ""direction"": ""ltr""}}","[{""uri"": ""http://vocab.getty.edu/aat/300418049"", ""labels"": [{""id"": ""3f70be76-d925-438c-936c-e26579b6a574"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""86c90464-5ad0-490a-b281-24df80e671ac"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}, {""uri"": ""http://vocab.getty.edu/aat/300404764"", ""labels"": [{""id"": ""45461971-fdc6-488e-9024-23758451c499"", ""value"": ""sources (general concept)"", ""language_id"": ""en"", ""list_item_id"": ""8abfbb19-3845-4510-8af5-60d82f4f9beb"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f44f7240-35c5-49e8-a0e3-2ffe308f0862""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""df983359-9231-4ba3-bb63-e54eb0f52359"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]"
