resourceinstanceid,graphid,graphpublicationid,principaluser_id,gbif_name_tileid,gbif_name_name_content,gbif_name_name_type_,gbif_name_name_language_,gbif_name_nodegroupid,gbif_tileid,gbif_statement_content,gbif_statement_type,gbif_statement_language_,gbif_nodegroupid,atribs_tileid,atribs_attribute_type,atribs_nodegroupid,mat_tileid,mat_material,mat_nodegroupid,chem_tileid,chem_material_data_assignment_name_content,chem_material_data_assignment_name_type,chem_material_data_assignment_name_language,chem_nodegroupid,tileid,mixture_type,mixture_type_metatype,nodegroupid
7b4056f2-d82b-4f34-9b36-c0e0ab420bff,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,15a150fd-a4f9-41be-86e5-bc9412063a97,"{""en"": {""value"": ""Pinus echinata"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,58ef5d73-ca04-4b49-821b-4e2726197d7c,"{""en"": {""value"": ""Pinus echinata (https://www.gbif.org/species/5285324)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,68d33034-3d0d-4d88-b0c5-1a445bd6392f,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,9f0f9942-7fc9-48a3-8aac-bf468fab949d,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
c652dc8a-35d0-4004-85c6-d5a0491f46fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,76bf9929-5a08-4089-a5cc-ac09e23c00fc,"{""en"": {""value"": ""Pinus elliottii"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,acc6ee22-653a-4297-97ce-5da2dd8d772d,"{""en"": {""value"": ""Pinus elliottii (https://www.gbif.org/species/5285777)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,f7fcf3a7-0ac1-441e-9713-8cbeabe9cf13,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,f443e2ee-abf3-4537-ba56-84dd6b9b082d,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
6b999fe8-f429-4f08-83dc-1c22ec7da40f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a3d19f9e-310e-48b4-b3be-bc02f35980e9,"{""en"": {""value"": ""Pinus palustris"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,b4a0e6fb-e69c-4ff9-b077-a36d74924e22,"{""en"": {""value"": ""Pinus palustris (https://www.gbif.org/species/5285816)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,dc8eac4f-62a3-4db8-ae2e-3a77ce6479e0,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,dbef6536-e182-41a1-8614-bd44ed5dea77,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
7c509df8-3a2c-4f19-ab07-5934252f1b19,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,27ff86ef-e9eb-4430-a328-9a5a56936e4d,"{""en"": {""value"": ""Taxodium distichum"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,54e92695-6c71-43ec-a91b-4cc56c0e512c,"{""en"": {""value"": ""Taxodium distichum (https://www.gbif.org/species/2684191)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,f98ee3f5-8405-460e-8673-fdbe78ea791c,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,28ff5faf-4e4c-4b26-89c7-8d0b7f6f7fb3,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
f5530d89-9bcc-421f-a905-340af3e4d4d9,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,02a75edc-c82c-4387-b47a-65e5b7edff7e,"{""en"": {""value"": ""Populus deltoides"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,c3a3445e-40b6-4428-9600-cab1888f4d53,"{""en"": {""value"": ""Populus deltoides (https://www.gbif.org/species/3040232)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,00527edc-bb6b-48fb-a77f-f50dcf51a54b,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,ffc6fca9-9d91-4904-89f7-0f5c9c013f49,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
fdf868bf-33cb-4866-b49a-0f1e6dd41153,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,d7cbfa4c-108b-4f6b-8f0d-ab704351b346,"{""en"": {""value"": ""Populus deltoides"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,a1e5a5fd-9962-432d-87e4-31641dd07357,"{""en"": {""value"": ""Populus deltoides (https://www.gbif.org/species/3040232)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,67068b01-3ab1-4481-a5f3-afcf8060f156,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,f5a5550a-532b-43f1-9a8b-a8a8d21c8c37,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
624aea12-09c0-48a7-a04b-7222e38cb393,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f539cc8a-8203-4385-86e2-3a7b9744a093,"{""en"": {""value"": ""Salix nigra"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,4baf3672-a7f6-4b15-9657-21e59d3851aa,"{""en"": {""value"": ""Salix nigra (https://www.gbif.org/species/5372854)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,38e6faf4-272e-4642-a200-b3f69e5dec6d,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,3b068828-9396-4c03-9e17-8424f6a8d6e5,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
b7818cbb-6006-4ccc-a799-ee8e5612369b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9231146b-6451-49b6-add6-a5e6e69e2532,"{""en"": {""value"": ""Fagus grandifolia caroliniana"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,2daa4486-66aa-4b01-8995-1b500a82ebe8,"{""en"": {""value"": ""Fagus grandifolia caroliniana (https://www.gbif.org/species/2882286)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,95ce4d3d-537e-4d5f-9993-b47736afd2fe,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,7efab894-9f23-4a8b-9a9a-42d6b58f3228,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
b8759279-f6a2-4969-9d62-47628a505f7b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0f562f64-3e3b-4cbf-a534-9d36a523eee7,"{""en"": {""value"": ""Carya illinoensis"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,fffdf663-6e61-4399-91ec-32f58f05752d,"{""en"": {""value"": ""Carya illinoensis (https://www.gbif.org/species/4205617)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,5b8689f4-3167-491b-8dde-80ef66a1d392,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,78aa5ba7-c639-48c4-b5bc-710688ed82ca,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
60ee2f5a-003b-4968-948a-886312787148,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,7e96a48b-914f-4af5-bbb4-79565c93090d,"{""en"": {""value"": ""Quercus alba"", ""direction"": ""ltr""}}","[""983b7351-17ec-47d7-a42a-c6444dc91df4""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda409e0-d376-11ef-a239-0275dc2ded29,4be2e0ae-19fe-40bd-9c34-b1e4a528b3d3,"{""en"": {""value"": ""Quercus alba (https://www.gbif.org/species/2879737)"", ""direction"": ""ltr""}}","[""0fccc7ca-50fd-4b67-abcd-aff15396cbfa""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,af2eeb67-f1b8-448d-b4f9-b2361aa33765,"[""bb778384-2b94-49d9-84dc-626f41235846""]",398111dc-0907-11f0-9e45-0275dc2ded29,ba73c3d7-391f-4994-b079-951be19e7065,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]",bda47b64-d376-11ef-a239-0275dc2ded29,,,"""""","""""",,,"""""",,
